ticker,horizon,feature,n_steps,rolling_inclusion_freq,peak_inclusion_freq,inclusion_drop_from_peak,decayed_inclusion_flag,sign_flips,sign_flip_rate,mean_abs_coef,importance_slope,importance_slope_pvalue,mean_importance,decay_score
AAPL,126,macro_inflation_fwd_chg_21d,149,0.375,1.0,0.625,True,3,0.0517,0.00119,0.0,0.9899,0.000833,0.2256
AAPL,126,vol_of_vol,149,0.375,1.0,0.625,True,3,0.0492,0.000379,8.4e-05,0.0,0.005856,0.2247
AAPL,126,macro_hy_spread_chg_5d,149,0.375,1.0,0.625,True,3,0.033,0.000671,2.6e-05,0.0,0.001014,0.2193
AAPL,126,macro_dollar_ret,149,0.375,1.0,0.625,True,1,0.0172,0.000106,,,0.0,0.2141
AAPL,126,mom21_UUP,149,0.375,1.0,0.625,True,1,0.0159,0.000528,2.3e-05,0.0021,0.002125,0.2136
AAPL,126,ret_TARGET,149,0.375,1.0,0.625,True,0,0.0,0.000255,,,0.0,0.2083
AAPL,126,ret_USO,149,0.375,1.0,0.625,True,0,0.0,0.000136,,,0.0,0.2083
AAPL,126,ret_UUP,149,0.375,1.0,0.625,True,0,0.0,6.4e-05,,,0.0,0.2083
AAPL,126,rv_10d,149,0.375,1.0,0.625,True,0,0.0,0.000808,7.6e-05,0.0,0.004101,0.2083
AAPL,126,rv_5d,149,0.375,1.0,0.625,True,0,0.0,0.000223,9.2e-05,0.0002,0.003529,0.2083
AAPL,126,corr_sector_21d,149,0.5,1.0,0.5,True,6,0.0857,0.001901,0.000414,0.0002,0.034533,0.1952
AAPL,126,res_vol_vel,149,0.5,1.0,0.5,True,5,0.0806,0.000853,1.4e-05,0.0376,0.00152,0.1935
AAPL,126,vol_regime_zscore,149,0.5,1.0,0.5,True,3,0.05,0.000964,0.000125,0.0,0.011289,0.1833
AAPL,126,corr_sector_252d,149,0.5,1.0,0.5,True,4,0.0449,0.009612,-0.000271,0.0,0.064151,0.1831
AAPL,126,event_div_gravity,149,0.5,1.0,0.5,True,0,0.0,0.000147,4.6e-05,0.0,0.012899,0.1667
AAPL,126,rv_63d,149,0.625,1.0,0.375,True,8,0.1,0.002441,-0.000106,0.0,0.026822,0.1597
AAPL,126,mom21_TLT,149,0.625,1.0,0.375,True,5,0.0602,0.002179,1.2e-05,0.4636,0.011392,0.1451
AAPL,126,ret_SPY,149,0.75,1.0,0.25,False,6,0.1667,0.000108,,,0.0,0.1389
AAPL,126,oi_hedge_pressure_chg_5d,149,0.875,1.0,0.125,False,3,0.0455,0.000325,,,0.0,0.0568
AAPL,126,ewma_vol,149,1.0,1.0,0.0,False,12,0.16,0.000933,0.000203,0.0,0.009067,0.0533
AAPL,126,event_cpi_gravity,149,1.0,1.0,0.0,False,11,0.1486,0.00057,-0.000538,0.0,0.051313,0.053
AAPL,126,event_nfp_gravity,149,0.875,1.0,0.125,False,2,0.0227,0.001448,-0.000541,0.0,0.067248,0.0519
AAPL,126,rv_126d,149,1.0,1.0,0.0,False,16,0.1455,0.009581,0.000606,0.0,0.067784,0.0485
AAPL,126,macro_inflation_fwd_chg_63d,149,1.0,1.0,0.0,False,6,0.08,0.002601,4.2e-05,0.1017,0.036491,0.0267
AAPL,126,mom21_USO,149,1.0,1.0,0.0,False,6,0.0698,0.001211,7.6e-05,0.0,0.009019,0.0233
AAPL,126,beta_spy,149,1.0,1.0,0.0,False,9,0.0612,0.020434,-0.000383,0.0,0.072438,0.0222
AAPL,126,tech_MACD_hist,149,1.0,1.0,0.0,False,5,0.0658,0.001776,7.9e-05,0.0,0.006289,0.0219
AAPL,126,res_vol,149,1.0,1.0,0.0,False,7,0.0642,0.005255,0.00015,0.0,0.032094,0.0214
AAPL,126,macro_hy_spread,149,1.0,1.0,0.0,False,5,0.0521,0.008044,4.1e-05,0.0071,0.030257,0.0174
AAPL,126,macro_inflation_fwd_zscore,149,1.0,1.0,0.0,False,5,0.0403,0.004357,-0.00029,0.0,0.036316,0.0161
AAPL,126,oi_put_call_ratio_25d,149,1.0,1.0,0.0,False,3,0.0361,0.000991,4e-06,0.0664,0.00018,0.012
AAPL,126,macro_inflation_fwd_abs_chg_21d,149,1.0,1.0,0.0,False,3,0.0345,0.001231,-0.0,0.9895,0.000532,0.0115
AAPL,126,tech_RSI,149,1.0,1.0,0.0,False,3,0.033,0.001463,2.4e-05,0.0004,0.001052,0.011
AAPL,126,term_structure_slope,149,1.0,1.0,0.0,False,3,0.0312,0.002375,5.1e-05,0.0,0.001828,0.0104
AAPL,126,price_regime,149,1.0,1.0,0.0,False,2,0.0211,0.007559,-0.000158,0.0,0.046167,0.0082
AAPL,126,macro_inflation_fwd_5y5y,149,1.0,1.0,0.0,False,3,0.0238,0.012582,7e-06,0.8228,0.043742,0.0079
AAPL,126,vol_chg_21d,149,1.0,1.0,0.0,False,2,0.0211,0.004337,9.1e-05,0.0,0.004536,0.007
AAPL,126,sector_wedge,149,1.0,1.0,0.0,False,2,0.0154,0.005589,-8.6e-05,0.0426,0.032643,0.006
AAPL,126,vrp_wedge,149,1.0,1.0,0.0,False,2,0.0174,0.004686,4.4e-05,0.0,0.012435,0.0058
AAPL,126,macro_yield_curve_slope,149,1.0,1.0,0.0,False,1,0.0075,0.013095,0.000325,0.0,0.055708,0.0025
AAPL,126,mom21_HYG,149,1.0,1.0,0.0,False,0,0.0,0.002654,-3.3e-05,0.3237,0.018425,0.0006
AAPL,126,put_call_skew_30d,149,1.0,1.0,0.0,False,0,0.0,0.008203,-9.3e-05,0.3679,0.056762,0.0005
AAPL,126,rv_21d,149,1.0,1.0,0.0,False,0,0.0,0.007498,-2.3e-05,0.5153,0.024405,0.0003
AAPL,126,macro_breakeven_5y,149,1.0,1.0,0.0,False,0,0.0,0.011817,0.000169,0.0,0.033923,0.0
