date,fwd_premium_21d,fwd_premium_63d,fwd_premium_126d,fwd_premium_21_to_63d,fwd_premium_63_to_126d,fwd_premium_ewma_21d,fwd_premium_ewma_63d,fwd_premium_ewma_126d
5/5/2014,0.00121,0.006712,0.025878,0.00938,0.044925,0.017814,0.012063,0.032175
5/6/2014,0.000484,0.006768,0.027213,0.009801,0.04739,0.016238,0.011581,0.031724
5/7/2014,0.000774,0.007547,0.025135,0.010809,0.042892,0.014832,0.011215,0.031125
5/8/2014,0.002606,0.008844,0.027596,0.011858,0.046451,0.013721,0.010999,0.030804
5/9/2014,-0.001105,0.006586,0.024299,0.010271,0.042432,0.012373,0.010598,0.030213
5/12/2014,-0.002464,0.00502,0.022572,0.008611,0.041026,0.011024,0.010091,0.029518
5/13/2014,-0.006266,0.008173,0.022024,0.014854,0.037015,0.009452,0.009916,0.028837
5/14/2014,-0.010767,-8.00E-06,0.019923,0.005047,0.040438,0.007614,0.009014,0.028027
5/15/2014,-0.004247,0.002758,0.021665,0.006124,0.040875,0.006536,0.008445,0.027448
5/16/2014,-0.006804,0.002256,0.021687,0.00656,0.041489,0.005323,0.007883,0.026925
5/19/2014,-0.005261,-0.001278,0.020648,0.000668,0.042657,0.004361,0.00705,0.026354
5/20/2014,-0.007448,0.000297,0.021519,0.004001,0.043102,0.003288,0.006436,0.025914
5/21/2014,-0.01061,-0.000576,0.019089,0.004157,0.039251,0.002024,0.005799,0.025294
5/22/2014,-0.008284,-0.002376,0.018948,0.000476,0.040588,0.001087,0.005056,0.024717
5/23/2014,-0.010975,-0.003449,0.018967,0.000149,0.041561,-1.00E-05,0.004282,0.024194
5/27/2014,-0.005999,-0.001234,0.021241,0.001082,0.043886,-0.000554,0.003781,0.023926
5/28/2014,-0.004665,0.004801,0.024191,0.009291,0.044253,-0.000928,0.003874,0.02395
5/29/2014,-0.007839,0.005858,0.027261,0.012207,0.048954,-0.001556,0.004054,0.024251
5/30/2014,-0.009182,0.008623,0.019973,0.016709,0.031025,-0.002249,0.004469,0.023862
6/2/2014,-0.006838,0.007589,0.022345,0.014258,0.036477,-0.002666,0.004753,0.023724
6/3/2014,-0.007759,0.008542,0.022267,0.016007,0.035462,-0.003129,0.005098,0.023592
6/4/2014,-0.004813,0.007813,0.02191,0.013708,0.035448,-0.003282,0.005344,0.023439
6/5/2014,-0.008354,0.003575,0.018712,0.009154,0.033106,-0.003743,0.005183,0.023009
6/6/2014,-0.014976,-0.000501,0.01476,0.006158,0.029131,-0.004765,0.004667,0.022259
6/9/2014,-0.012312,0.000202,0.015846,0.006025,0.030645,-0.005451,0.004261,0.021676
6/10/2014,-0.00915,0.005791,0.014885,0.012674,0.023938,-0.005787,0.0044,0.021059
6/11/2014,-0.009872,0.003309,0.016397,0.00943,0.029095,-0.006158,0.004301,0.020635
6/12/2014,-0.001882,0.008855,0.018589,0.013922,0.028297,-0.00577,0.004715,0.020449
6/13/2014,0.002253,0.010002,0.01902,0.013719,0.028064,-0.00504,0.005195,0.020319
6/16/2014,0.0086,0.009716,0.021447,0.010271,0.033163,-0.0038,0.005606,0.020422
6/17/2014,0.013906,0.011653,0.023894,0.010513,0.036156,-0.002191,0.006156,0.020737
6/18/2014,0.016925,0.015053,0.025251,0.014108,0.03565,-0.000453,0.006965,0.021148
6/19/2014,0.009081,0.014837,0.023179,0.017631,0.03167,0.000414,0.007681,0.021332
6/20/2014,0.012778,0.01135,0.021747,0.010631,0.032196,0.001538,0.008014,0.02137
6/23/2014,0.011118,0.007652,0.019641,0.005886,0.031535,0.002409,0.007981,0.021213
6/24/2014,0.019883,0.015157,0.024694,0.012735,0.034317,0.003997,0.008634,0.021529
6/25/2014,0.017319,0.012973,0.022231,0.01075,0.031588,0.005208,0.009028,0.021593
6/26/2014,0.016556,0.023452,0.02486,0.026785,0.026385,0.00624,0.010339,0.02189
6/27/2014,0.008859,0.004331,0.012522,0.002138,0.020792,0.006478,0.009793,0.021038
6/30/2014,0.008405,0.007311,0.01129,0.006792,0.015427,0.006653,0.009568,0.020152
7/1/2014,0.013939,0.005419,0.013189,0.001192,0.021089,0.007316,0.00919,0.019519
7/2/2014,0.006731,-0.001861,0.009447,-0.006113,0.020685,0.007262,0.008186,0.018604
7/3/2014,0.001299,-0.004926,0.008045,-0.007979,0.020867,0.00672,0.006994,0.017644
7/7/2014,0.007015,0.000851,0.009865,-0.00223,0.01898,0.006747,0.006435,0.016937
7/8/2014,0.009559,0.000539,0.012391,-0.003993,0.024291,0.007003,0.005899,0.016523
7/9/2014,0.012585,0.001169,0.010457,-0.004691,0.020018,0.00751,0.005469,0.015972
7/10/2014,0.014674,0.012429,0.01401,0.011257,0.015575,0.008161,0.006102,0.015793
7/11/2014,0.010195,0.010249,0.01279,0.01028,0.015288,0.008346,0.006479,0.01552
7/14/2014,0.004385,0.001548,0.010068,0.000114,0.01882,0.007986,0.006031,0.015025
7/15/2014,0.006684,0.0053,0.010344,0.004587,0.015219,0.007868,0.005964,0.014599
7/16/2014,0.001251,0.003987,0.006887,0.005376,0.009729,0.007266,0.005784,0.013898
7/17/2014,0.013686,0.009464,0.014804,0.007197,0.019958,0.00785,0.006119,0.01398
7/18/2014,0.005664,0.00532,0.010621,0.005143,0.015734,0.007651,0.006046,0.013675
7/21/2014,0.000136,0.0089,0.009024,0.01309,0.009157,0.006968,0.006306,0.013252
7/22/2014,0.007787,0.002403,0.010607,-0.000368,0.018713,0.007043,0.005951,0.013012
7/23/2014,0.007587,0.002648,0.009628,4.10E-05,0.016284,0.007092,0.005651,0.012704
7/24/2014,0.005744,0.007485,0.012886,0.008368,0.018096,0.006969,0.005817,0.012721
7/25/2014,0.004594,0.005949,0.012625,0.006634,0.01901,0.006754,0.005829,0.012712
7/28/2014,-0.001715,-0.008168,-0.008921,-0.011389,-0.00963,0.005984,0.004557,0.010745
7/29/2014,0.005744,-0.002409,-0.005705,-0.006706,-0.008821,0.005962,0.003924,0.00925
7/30/2014,-0.004084,-0.005382,-0.006357,-0.006033,-0.007279,0.005049,0.003078,0.007831
7/31/2014,0.024081,0.006063,0.007664,-0.003987,0.009228,0.006779,0.003349,0.007816
8/1/2014,0.006464,0.008154,0.014363,0.009015,0.020586,0.00675,0.003786,0.008411
8/4/2014,-0.00054,0.010075,0.013956,0.01538,0.017899,0.006087,0.004358,0.008915
8/5/2014,0.026998,0.023503,0.029574,0.021729,0.035978,0.007988,0.006098,0.010793
8/6/2014,0.023085,0.029289,0.030493,0.032513,0.031689,0.009361,0.008206,0.012584
8/7/2014,0.034243,0.038387,0.043636,0.040423,0.049213,0.011623,0.01095,0.015407
8/8/2014,0.023009,0.033882,0.035432,0.039077,0.037094,0.012658,0.013035,0.017227
8/11/2014,0.019982,0.027112,0.036298,0.030566,0.045786,0.013324,0.014315,0.018961
8/12/2014,0.021821,0.027197,0.034927,0.029822,0.042976,0.014096,0.015486,0.020413
8/13/2014,0.010441,0.02467,0.034825,0.031339,0.045451,0.013764,0.016321,0.021723
8/14/2014,-0.000316,0.013958,0.023367,0.020632,0.032745,0.012484,0.016106,0.021872
8/15/2014,-0.000374,0.012816,0.023891,0.019018,0.035072,0.011315,0.015807,0.022056
8/18/2014,-0.017583,0.002071,0.01507,0.010979,0.028056,0.008688,0.014558,0.021421
8/19/2014,-0.020228,-0.003347,0.012248,0.004385,0.027567,0.006059,0.01293,0.020587
8/20/2014,-0.02192,-0.002572,0.012026,0.006182,0.026378,0.003516,0.011521,0.019809
8/21/2014,-0.025221,-0.004986,0.011198,0.004112,0.027042,0.000903,0.01002,0.019026
8/22/2014,-0.024605,-0.001839,0.012117,0.008286,0.025987,-0.001416,0.008942,0.018398
8/25/2014,-0.026467,-0.021415,-0.02731,-0.019353,-0.032503,-0.003693,0.006183,0.014242
8/26/2014,-0.028346,-0.02197,-0.029315,-0.019347,-0.035757,-0.005934,0.003623,0.010283
8/27/2014,-0.032664,-0.02749,-0.029977,-0.025506,-0.032276,-0.008364,0.000795,0.006623
8/28/2014,-0.030712,-0.027112,-0.030202,-0.025739,-0.03303,-0.010396,-0.001742,0.003275
8/29/2014,-0.030704,-0.021455,-0.026665,-0.017532,-0.031312,-0.012242,-0.003534,0.000553
9/2/2014,-0.024319,-0.018234,-0.025664,-0.01565,-0.032193,-0.01334,-0.004871,-0.00183
9/3/2014,-0.025103,-0.024764,-0.024991,-0.024724,-0.025286,-0.014409,-0.006679,-0.003936
9/4/2014,-0.017741,-0.013666,-0.017779,-0.0119,-0.021559,-0.014712,-0.007314,-0.005194
9/5/2014,-0.022524,-0.017296,-0.019406,-0.01504,-0.021352,-0.015422,-0.008222,-0.006486
9/8/2014,-0.013968,-0.016038,-0.014056,-0.016986,-0.012208,-0.01529,-0.008932,-0.007174
9/9/2014,-0.011346,-0.009533,-0.011634,-0.008715,-0.013575,-0.014932,-0.008987,-0.00758
9/10/2014,-0.005557,-0.008895,-0.0101,-0.010478,-0.011225,-0.014079,-0.008978,-0.007809
9/11/2014,-0.006751,-0.007976,-0.009752,-0.008556,-0.0114,-0.013413,-0.008887,-0.007986
9/12/2014,-2.10E-05,-0.002978,-0.003389,-0.004358,-0.003783,-0.012196,-0.00835,-0.007568
9/15/2014,0.003634,-0.00438,-0.000849,-0.008224,0.002557,-0.010757,-0.007989,-0.006957
9/16/2014,0.003727,-0.010953,-0.004122,-0.01783,0.002607,-0.00944,-0.008259,-0.006699
9/17/2014,-0.000252,-0.015214,-0.006386,-0.022194,0.002273,-0.008605,-0.008891,-0.006671
9/18/2014,-0.001054,-0.014022,-0.004251,-0.02001,0.005402,-0.007918,-0.009357,-0.006451
9/19/2014,-0.001206,-0.012085,-0.006729,-0.01732,-0.001681,-0.007308,-0.009605,-0.006476
9/22/2014,0.001488,-0.012914,-0.008599,-0.019739,-0.0045,-0.006508,-0.009906,-0.006669
9/23/2014,-0.011155,-0.028853,-0.028104,-0.037148,-0.027437,-0.006931,-0.011629,-0.008618
9/24/2014,-0.007541,-0.020128,-0.014654,-0.026253,-0.009363,-0.006986,-0.012401,-0.009166
9/25/2014,0.019532,0.015938,0.022617,0.014112,0.029637,-0.004576,-0.009825,-0.006277
9/26/2014,0.008559,0.00875,0.015868,0.008845,0.023307,-0.003381,-0.008136,-0.004264
9/29/2014,0.017389,0.013854,0.020966,0.012059,0.028453,-0.001493,-0.006137,-0.00197
9/30/2014,0.027179,0.017177,0.025037,0.01195,0.033252,0.001113,-0.004018,0.000485
10/1/2014,0.047822,0.034579,0.043935,0.027583,0.054029,0.00536,-0.000509,0.004435
10/2/2014,0.055467,0.034206,0.042713,0.022575,0.051871,0.009915,0.002647,0.007915
10/3/2014,0.036024,0.024623,0.035891,0.018627,0.047724,0.012288,0.004645,0.010458
10/6/2014,0.036214,0.024246,0.035182,0.017933,0.046767,0.014463,0.006427,0.012706
10/7/2014,0.053037,0.038329,0.047856,0.030511,0.05827,0.01797,0.009327,0.015901
10/8/2014,0.056109,0.035122,0.046093,0.023642,0.058013,0.021437,0.011672,0.018646
10/9/2014,0.083281,0.061416,0.067727,0.049561,0.074959,0.027059,0.016194,0.023108
10/10/2014,0.100362,0.076742,0.084066,0.063906,0.092774,0.033723,0.021698,0.028649
10/13/2014,0.137399,0.097853,0.098087,0.075361,0.099176,0.043148,0.028622,0.034962
10/14/2014,0.159877,0.110964,0.108857,0.082462,0.107113,0.05376,0.036107,0.04168
10/15/2014,0.161544,0.118721,0.119094,0.094357,0.120166,0.063559,0.043618,0.048717
10/16/2014,0.151522,0.106804,0.109158,0.081028,0.112339,0.071555,0.049362,0.054212
10/17/2014,0.116819,0.084175,0.090343,0.065892,0.097558,0.07567,0.052527,0.057497
10/20/2014,0.082479,0.070066,0.078055,0.063571,0.087167,0.076289,0.054121,0.059366
10/21/2014,0.018636,0.012484,0.023177,0.009328,0.034327,0.071048,0.050336,0.056076
10/22/2014,0.030605,0.020213,0.030735,0.014795,0.041737,0.067371,0.047597,0.053772
10/23/2014,0.013119,0.015708,0.027137,0.016989,0.039097,0.062439,0.044698,0.051351
10/24/2014,0.017218,0.020699,0.032076,0.022415,0.044081,0.058328,0.042517,0.049598
10/27/2014,0.035761,0.028189,0.041939,0.024289,0.056323,0.056277,0.041214,0.048902
10/28/2014,0.012952,0.024298,0.033425,0.029724,0.043273,0.052338,0.039676,0.047495
10/29/2014,0.019275,0.022386,0.029,0.023922,0.036019,0.049332,0.038104,0.045814
10/30/2014,0.014037,0.017841,0.030815,0.019713,0.044031,0.046124,0.036262,0.04445
10/31/2014,0.011053,0.009749,0.021524,0.009093,0.033577,0.042935,0.033852,0.042366
11/3/2014,0.031383,0.0277,0.029497,0.025832,0.031475,0.041885,0.033293,0.041196
11/4/2014,0.038483,0.03365,0.035677,0.031188,0.037894,0.041576,0.033325,0.040694
11/5/2014,0.032659,0.034789,0.032335,0.035845,0.029709,0.040765,0.033458,0.039934
11/6/2014,0.022429,0.023668,0.031652,0.024284,0.040021,0.039098,0.032568,0.039181
11/7/2014,0.015306,0.015986,0.027928,0.016325,0.040206,0.036935,0.031061,0.038158
11/10/2014,0.016633,0.018939,0.025405,0.020081,0.032245,0.03509,0.029959,0.036999
11/11/2014,0.006227,0.013899,0.024516,0.017608,0.035499,0.032466,0.028499,0.035864
11/12/2014,0.00726,0.015755,0.023697,0.019852,0.032011,0.030175,0.02734,0.034758
11/13/2014,0.014506,0.015198,0.023578,0.015543,0.032324,0.02875,0.026236,0.033742
11/14/2014,0.00993,0.015742,0.022239,0.018577,0.02908,0.027039,0.025282,0.032696
11/17/2014,0.010423,0.014318,0.023538,0.016234,0.033347,0.025529,0.024286,0.031863
11/18/2014,0.001475,-0.009637,-0.011062,-0.015116,-0.012498,0.023342,0.021202,0.027961
11/19/2014,-0.008207,-0.000327,-0.000118,0.003499,9.00E-05,0.020474,0.019245,0.025409
11/20/2014,-0.010883,-0.004246,-0.004857,-0.001117,-0.00547,0.017623,0.017109,0.022657
11/21/2014,-0.011185,-0.001516,0.000694,0.003208,0.002876,0.015004,0.015416,0.02066
11/24/2014,-0.016403,-0.00497,-0.001972,0.000625,0.000973,0.012149,0.013563,0.018603
11/25/2014,0.000551,-0.006232,-0.005797,-0.009479,-0.005363,0.011095,0.011763,0.016385
11/26/2014,0.01171,-0.003675,-0.004084,-0.011357,-0.004494,0.011151,0.01036,0.014524
11/28/2014,0.027953,0.019158,0.016001,0.01453,0.012793,0.012678,0.011159,0.014658
12/1/2014,0.051552,0.02964,0.023568,0.017289,0.017309,0.016212,0.01284,0.015468
12/2/2014,0.039992,0.020258,0.025968,0.0096,0.031972,0.018374,0.013514,0.016423
12/3/2014,0.035588,0.016064,0.023629,0.005511,0.031501,0.019939,0.013746,0.017078
12/4/2014,0.037437,0.023666,0.024333,0.016409,0.025092,0.02153,0.014648,0.017737
12/5/2014,0.051611,0.037022,0.044175,0.029316,0.052529,0.024264,0.016682,0.020141
12/8/2014,0.07818,0.058639,0.052406,0.048228,0.045633,0.029166,0.020496,0.023074
12/9/2014,0.081999,0.059715,0.055797,0.04774,0.051624,0.033969,0.024061,0.026049
12/10/2014,0.140095,0.091927,0.076846,0.064257,0.059772,0.043617,0.030231,0.030667
12/11/2014,0.127544,0.098707,0.078916,0.083105,0.056396,0.051246,0.036456,0.035053
12/12/2014,0.183184,0.143404,0.127954,0.121483,0.110507,0.063241,0.046179,0.043499
12/15/2014,0.18826,0.149569,0.132124,0.128333,0.112164,0.074606,0.055578,0.051555
