Date,Ticker,Z_Score,Forecast,Actual,Win
2023-12-08,MS,-0.7192821287467376,0.20713696838049003,0.26572473668030017,0
2023-12-11,MS,-0.3824482208147711,0.20923390990293386,0.27113218391274324,0
2023-12-12,MS,-0.3609875315639228,0.20838151375835298,0.27418610735043114,0
2023-12-13,MS,-0.46902065349850636,0.20778338079901434,0.3059755198449906,0
2023-12-14,MS,-1.0107727694314406,0.20555208164250702,0.21710654170141433,1
2023-12-15,MS,-1.127930557143481,0.19448482643902434,0.21444070279787766,1
2023-12-18,MS,-1.1081770662011052,0.20028849763897205,0.22570446120004226,1
2023-12-19,MS,-1.1564271014786502,0.19759710032015762,0.22029741986356743,1
2023-12-20,MS,-1.1635958455612918,0.19787831311681206,0.2253696254382116,1
2023-12-21,MS,-1.0895249773482043,0.19783494668588422,0.21953718151732224,1
2023-12-22,MS,-1.103869774310288,0.1979116344023152,0.22119752175981205,1
2023-12-26,MS,-1.1071949427610093,0.1971421752696854,0.21975507544084144,1
2023-12-27,MS,-0.7983977287226998,0.21173201613987347,0.21585764410594102,1
2023-12-28,MS,-0.7131293563493081,0.20715068570790213,0.2202922803971987,1
2023-12-29,MS,-0.54413056282487,0.21914337120764021,0.22030766227934925,1
2024-01-02,MS,-0.7692113113700227,0.20343026973197714,0.21756458908597226,1
2024-01-03,MS,-0.9033368535255254,0.20979340059776763,0.20893997738205994,1
2024-01-04,MS,-0.9011673854017078,0.21011594571041742,0.2136095815742428,1
2024-01-05,MS,-0.9572866886137152,0.1979240248800272,0.20792372326191427,1
2024-01-08,MS,-0.48857440470972857,0.22429576761481215,0.20686704589718613,1
2024-01-09,MS,-1.083135534854657,0.19507898651391278,0.20216693218601361,1
2024-01-10,MS,-0.9909591233492945,0.19728068986161335,0.2027312541968659,1
2024-01-11,MS,-0.8358067650119881,0.21340427565906278,0.2059296162586998,1
2024-01-12,MS,-0.97462495393794,0.20687023689098355,0.23367227281138378,1
2024-01-16,MS,-1.3921987759387937,0.21569532456014215,0.18348323455085616,1
2024-01-17,MS,0.15937226743385988,0.2274413873251764,0.1845804839155186,0
2024-01-18,MS,0.32330510412424357,0.2354061342013371,0.18484511798725708,0
2024-01-19,MS,0.4349344702229019,0.25390874465903157,0.1835490726139674,0
2024-01-22,MS,0.5323414658315313,0.2548182744456189,0.18297961387441258,0
2024-01-23,MS,-0.13274175568130733,0.21589209430411083,0.17899779109012157,1
2024-01-24,MS,0.25896848119813054,0.2380270819311654,0.1781185202106611,0
2024-01-25,MS,0.08706890921700541,0.22741409086936593,0.18037071524695236,0
2024-01-26,MS,0.183476463332102,0.23285497670913216,0.18021133828384034,0
2024-01-29,MS,0.17027470732852723,0.2280149628921296,0.1819549442036998,0
2024-01-30,MS,0.013803234999321252,0.22139363638681472,0.1781947648689356,0
2024-01-31,MS,0.24552274536552182,0.23989784865294825,0.1788740900852323,0
2024-02-01,MS,-0.03929889259991142,0.21442894220664885,0.2268426249623879,0
2024-02-02,MS,0.4407737320581695,0.24410918154989056,0.23010835353418502,1
2024-02-05,MS,0.40052981539047555,0.24556773567520487,0.2643476076119299,1
2024-02-06,MS,0.42536082658230423,0.24284549240330067,0.2649568338055833,1
2024-02-07,MS,0.4790926146427425,0.24620015002980133,0.26731952614039006,1
2024-02-08,MS,0.5217941373966624,0.24500579572665815,0.26686969721725157,1
2024-02-09,MS,0.4945585071507731,0.24333409520692353,0.26677148989233546,1
