[MONITOR] Logging to /mnt/c/Users/Caleb Solomon/Documents/GitHub/volarbmodel/model/pipeline/results/monitoring
[MONITOR] Interval: 60s | RAM warn: 85% | RAM crit: 90%
[MONITOR] Press Ctrl+C to stop

[2026-04-07 08:03:08 UTC] RAM 27.6% | CPU 88.9% | GPU 1.0% | Batch 1/27 (3 tickers)
[2026-04-07 08:04:08 UTC] RAM 27.5% | CPU 87.5% | GPU 66.0% | Batch 1/27 (3 tickers)
[2026-04-07 08:05:09 UTC] RAM 27.5% | CPU 92.8% | GPU 40.0% | Batch 1/27 (3 tickers)
[2026-04-07 08:06:08 UTC] RAM 27.5% | CPU 91.2% | GPU 27.0% | Batch 1/27 (3 tickers)
[2026-04-07 08:07:08 UTC] RAM 27.6% | CPU 90.0% | GPU 2.0% | Batch 1/27 (3 tickers)
[2026-04-07 08:08:08 UTC] RAM 27.6% | CPU 91.9% | GPU 0.0% | Batch 1/27 (3 tickers)
[2026-04-07 08:09:08 UTC] RAM 27.6% | CPU 70.5% | GPU 0.0% | Batch 1/27 (3 tickers)
[2026-04-07 08:10:08 UTC] RAM 27.5% | CPU 96.2% | GPU 1.0% | Batch 1/27 (3 tickers)
[2026-04-07 08:11:07 UTC] RAM 27.5% | CPU 81.4% | GPU 54.0% | Batch 1/27 (3 tickers)
[2026-04-07 08:12:07 UTC] RAM 27.5% | CPU 89.2% | GPU 57.0% | Batch 1/27 (3 tickers)
[2026-04-07 08:13:07 UTC] RAM 27.5% | CPU 96.1% | GPU 8.0% | Batch 1/27 (3 tickers)
[2026-04-07 08:14:07 UTC] RAM 27.7% | CPU 96.3% | GPU 6.0% | Batch 1/27 (3 tickers)
[2026-04-07 08:15:07 UTC] RAM 27.7% | CPU 81.2% | GPU 4.0% | Batch 1/27 (3 tickers)
[2026-04-07 08:16:07 UTC] RAM 27.7% | CPU 98.3% | GPU 1.0% | Batch 1/27 (3 tickers)
[2026-04-07 08:17:07 UTC] RAM 27.7% | CPU 88.5% | GPU 6.0% | Batch 1/27 (3 tickers)
[2026-04-07 08:18:07 UTC] RAM 27.7% | CPU 94.5% | GPU 4.0% | Batch 1/27 (3 tickers)
[2026-04-07 08:19:06 UTC] RAM 27.7% | CPU 89.1% | GPU 72.0% | Batch 1/27 (3 tickers)
[2026-04-07 08:20:06 UTC] RAM 27.7% | CPU 96.9% | GPU 9.0% | Batch 1/27 (3 tickers)
[2026-04-07 08:21:06 UTC] RAM 27.9% | CPU 97.2% | GPU 0.0% | Batch 1/27 (3 tickers)
[2026-04-07 08:22:06 UTC] RAM 27.9% | CPU 79.6% | GPU 0.0% | Batch 1/27 (3 tickers)
[2026-04-07 08:23:06 UTC] RAM 27.9% | CPU 85.8% | GPU 0.0% | Batch 1/27 (3 tickers)
[2026-04-07 08:24:06 UTC] RAM 27.8% | CPU 53.9% | GPU 77.0% | Batch 1/27 (3 tickers)
[2026-04-07 08:25:06 UTC] RAM 27.9% | CPU 99.9% | GPU 3.0% | Batch 1/27 (3 tickers)
[2026-04-07 08:26:06 UTC] RAM 28.0% | CPU 85.7% | GPU 4.0% | Batch 1/27 (3 tickers)
[2026-04-07 08:27:05 UTC] RAM 28.0% | CPU 65.3% | GPU 1.0% | Batch 1/27 (3 tickers)
