ticker,sector,H,n,alpha,beta,R2,RMSE,MAE,QLIKE,hit_rate
LLY,Health Care,63,2676,0.0315,0.9398,0.4296,0.0513,0.0336,0.0227,0.49
LLY,Health Care,126,2676,0.0127,1.0351,0.5528,0.0416,0.0288,0.0161,0.513
LMT,Industrials,21,2676,-0.0368,1.2803,0.4125,0.0571,0.031,0.0332,0.479
LMT,Industrials,63,2676,-0.0348,1.2849,0.3015,0.0535,0.0303,0.0329,0.493
LMT,Industrials,126,2676,-0.067,1.4837,0.4422,0.0439,0.0267,0.0231,0.505
MCD,Staples,21,2676,-0.0143,1.1749,0.245,0.0668,0.0279,0.0403,0.476
MCD,Staples,63,2676,-0.0157,1.2205,0.2364,0.0608,0.0277,0.0421,0.496
MCD,Staples,126,2676,-0.0179,1.2335,0.3153,0.0519,0.0256,0.0331,0.507
META,Comm,21,37,-0.303,2.2092,0.4673,0.0298,0.0265,0.0078,0.5
META,Comm,63,37,0.2141,0.2763,0.261,0.0268,0.0248,0.0052,0.611
META,Comm,126,37,0.5084,-0.9186,0.1843,0.0091,0.0076,0.0006,0.694
MMM,Industrials,21,2676,0.0179,0.9412,0.4571,0.0504,0.0308,0.0286,0.484
MMM,Industrials,63,2676,0.0082,1.0292,0.514,0.0436,0.0257,0.0234,0.484
MMM,Industrials,126,2676,-0.0056,1.1069,0.7138,0.0319,0.0207,0.0134,0.507
MRK,Health Care,21,2676,0.0327,0.873,0.1566,0.0622,0.0335,0.0383,0.476
MRK,Health Care,63,2676,-0.0012,1.0999,0.1944,0.0521,0.0315,0.0306,0.489
MRK,Health Care,126,2676,-0.0391,1.2861,0.3226,0.0396,0.0263,0.0187,0.519
MS,Financials,21,2676,0.0537,0.7853,0.2351,0.0805,0.0434,0.0313,0.494
MS,Financials,63,2676,-0.0155,1.11,0.2577,0.068,0.0353,0.0252,0.492
MS,Financials,126,2676,-0.0642,1.3313,0.4108,0.0536,0.0284,0.0172,0.506
MSFT,Tech,21,2676,-0.0062,1.0806,0.3065,0.0632,0.0372,0.0353,0.505
MSFT,Tech,63,2676,-0.0269,1.2113,0.2771,0.0565,0.0348,0.0322,0.472
MSFT,Tech,126,2676,-0.028,1.2296,0.3026,0.0486,0.0306,0.0251,0.51
NEE,Utilities,21,2676,-0.0154,1.1741,0.3382,0.0724,0.0323,0.0349,0.498
