Ticker,Expiry,Days_to_Expiry,Zscore,RMSE,MKTIV,MODELRV
AMD,2027-12-17,686,-2.981,0.0261,0.6064,0.5285
AMD,2028-01-21,721,-1.091,0.0675,0.6059,0.5323
AMD,2028-12-15,1050,-3.908,0.0258,0.6102,0.5093
AMZN,2026-02-02,3,-0.119,1.1903,0.4653,0.3242
AMZN,2026-02-04,5,-0.122,0.93,0.4421,0.3283
AMZN,2026-02-06,7,-0.489,0.8112,0.7029,0.3061
AMZN,2026-02-09,10,-0.358,0.778,0.5986,0.3199
AMZN,2026-02-11,12,-0.37,0.6905,0.5645,0.3088
AMZN,2026-02-13,14,-0.368,0.6698,0.5504,0.3035
AMZN,2026-02-20,21,-0.368,0.5994,0.5166,0.2959
AMZN,2026-02-27,28,-0.337,0.5514,0.4805,0.2948
AMZN,2026-03-06,35,-0.338,0.4807,0.4382,0.2756
AMZN,2026-03-13,42,-0.345,0.4205,0.4168,0.2717
AMZN,2026-03-20,49,-0.613,0.3444,0.4678,0.2565
AMZN,2026-04-17,77,-0.746,0.1805,0.4006,0.2659
AMZN,2026-05-15,105,-0.348,0.2103,0.4034,0.3303
AMZN,2026-06-18,139,-0.318,0.2682,0.4024,0.3171
AMZN,2026-07-17,168,-0.347,0.1695,0.3691,0.3102
AMZN,2026-08-21,203,-0.398,0.1672,0.3804,0.3138
AMZN,2026-09-18,231,-0.592,0.1295,0.3766,0.2999
AMZN,2026-11-20,294,-0.748,0.054,0.3786,0.3383
AMZN,2026-12-18,322,-0.913,0.029,0.3786,0.3521
AMZN,2027-01-15,350,-0.93,0.0279,0.3711,0.3452
AMZN,2027-06-17,503,-1.13,0.0518,0.3836,0.3251
AMZN,2027-07-16,532,-0.992,0.0722,0.3983,0.3266
AMZN,2027-12-17,686,-0.877,0.0888,0.3927,0.3149
AMZN,2028-01-21,721,-3.583,0.021,0.3862,0.311
AMZN,2028-06-16,868,-4.387,0.0192,0.3944,0.3099
AMZN,2028-12-15,1050,-1.392,0.0487,0.3824,0.3146
AVGO,2026-02-02,3,-0.051,1.3855,0.5188,0.4479
AVGO,2026-02-04,5,-0.076,1.1173,0.5095,0.4247
AVGO,2026-02-06,7,-0.177,0.9517,0.5938,0.4256
AVGO,2026-02-09,10,0.011,0.8816,0.5057,0.5152
AVGO,2026-02-11,12,-0.027,0.738,0.5015,0.4813
AVGO,2026-02-13,14,-0.117,0.7303,0.5637,0.4786
AVGO,2026-02-20,21,-0.188,0.6921,0.5941,0.464
AVGO,2026-02-27,28,-0.25,0.4834,0.5187,0.3979
AVGO,2026-03-06,35,-0.465,0.3786,0.5772,0.4012
AVGO,2026-03-13,42,-0.326,0.3053,0.5485,0.449
AVGO,2026-03-20,49,-0.411,0.3535,0.6488,0.5036
AVGO,2026-04-17,77,-0.068,0.2555,0.5249,0.5075
AVGO,2026-05-15,105,-0.03,0.3212,0.5132,0.5037
AVGO,2026-06-18,139,-0.206,0.3396,0.5496,0.4797
AVGO,2026-07-17,168,-0.171,0.2663,0.5067,0.4613
AVGO,2026-08-21,203,-0.285,0.2191,0.5069,0.4444
AVGO,2026-09-18,231,-0.291,0.2841,0.523,0.4403
AVGO,2026-11-20,294,-0.503,0.0774,0.5115,0.4726
AVGO,2026-12-18,322,-0.204,0.096,0.5191,0.4995
AVGO,2027-01-15,350,-0.196,0.121,0.5253,0.5016
AVGO,2027-03-19,413,0.934,0.0567,0.5192,0.5722
AVGO,2027-06-17,503,0.758,0.0249,0.5235,0.5424
AVGO,2027-09-17,595,0.46,0.0641,0.5247,0.5542
AVGO,2027-12-17,686,0.131,0.0257,0.53,0.5334
AVGO,2028-01-21,721,0.426,0.0414,0.5133,0.5309
AVGO,2028-12-15,1050,-1.218,0.0224,0.5014,0.4741
NVDA,2026-02-02,3,-0.293,1.1481,0.6514,0.3152
NVDA,2026-02-04,5,-0.299,0.8905,0.5448,0.2789
NVDA,2026-02-06,7,-0.608,0.761,0.8174,0.3548
NVDA,2026-02-09,10,-0.15,0.7,0.4541,0.3494
NVDA,2026-02-11,12,-0.221,0.6236,0.4773,0.3393
NVDA,2026-02-13,14,-0.595,0.5221,0.6196,0.3092
NVDA,2026-02-20,21,-0.662,0.4401,0.5859,0.2948
NVDA,2026-02-27,28,-0.925,0.3614,0.6191,0.2849
NVDA,2026-03-06,35,-0.643,0.337,0.5122,0.2954
NVDA,2026-03-13,42,-0.453,0.3629,0.4811,0.3167
NVDA,2026-03-20,49,-0.708,0.4154,0.6267,0.3328
NVDA,2026-04-17,77,-0.53,0.4098,0.5806,0.3633
NVDA,2026-05-15,105,-0.488,0.3646,0.546,0.3682
NVDA,2026-06-18,139,-0.198,0.5146,0.4746,0.3727
NVDA,2026-07-17,168,-0.242,0.5431,0.4897,0.3585
NVDA,2026-08-21,203,-0.301,0.4971,0.5061,0.3567
NVDA,2026-09-18,231,-0.357,0.4158,0.5044,0.3558
NVDA,2026-11-20,294,-0.507,0.1627,0.4928,0.4103
NVDA,2026-12-18,322,-0.333,0.1068,0.4721,0.4365
NVDA,2027-01-15,350,-0.468,0.1017,0.5005,0.4529
NVDA,2027-06-17,503,-0.441,0.0826,0.5014,0.4649
NVDA,2027-09-17,595,0.043,0.0756,0.4983,0.5016
NVDA,2027-12-17,686,-0.091,0.0748,0.5094,0.5026
NVDA,2028-01-21,721,0.064,0.067,0.5089,0.5131
NVDA,2028-12-15,1050,-0.294,0.0512,0.5151,0.5
CBRE,2026-02-20,21,-0.543,0.389,0.4647,0.2536
CBRE,2026-03-20,49,-0.651,0.2491,0.3953,0.2331
CBRE,2026-06-18,139,-0.416,0.2207,0.3265,0.2346
CBRE,2026-09-18,231,-0.522,0.1635,0.3355,0.2501
CBRE,2027-01-15,350,-1.582,0.0447,0.3539,0.2833
NFLX,2026-02-06,7,-0.187,0.8651,0.6016,0.4396
NFLX,2026-02-13,14,-0.312,0.7924,0.5278,0.2808
NFLX,2026-02-20,21,-0.311,0.634,0.4668,0.2695
NFLX,2026-02-27,28,-0.221,0.6547,0.417,0.2721
NFLX,2026-03-06,35,-0.197,0.5239,0.3616,0.2584
NFLX,2026-03-13,42,-0.264,0.4264,0.3726,0.2603
NFLX,2026-03-20,49,-0.352,0.3852,0.4387,0.3031
NFLX,2026-04-17,77,-0.216,0.3674,0.4062,0.3267
NFLX,2026-05-15,105,-0.191,0.2826,0.395,0.3409
NFLX,2026-06-18,139,-0.231,0.2522,0.3816,0.3233
NFLX,2026-07-17,168,-0.663,0.227,0.4573,0.3068
NFLX,2026-08-21,203,-0.428,0.1429,0.3728,0.3116
NFLX,2026-09-18,231,-0.38,0.1162,0.3567,0.3125
NFLX,2026-11-20,294,-1.476,0.0657,0.4127,0.3157
NFLX,2026-12-18,322,-0.566,0.0435,0.3515,0.3269
NFLX,2027-01-15,350,-0.457,0.1178,0.3894,0.3356
NFLX,2027-06-17,503,-0.415,0.0796,0.3566,0.3236
NFLX,2027-12-17,686,-0.507,0.066,0.345,0.3115
NFLX,2028-01-21,721,0.118,0.0488,0.3052,0.311
NFLX,2028-06-16,868,-4.957,0.0245,0.4427,0.3214
NFLX,2028-12-15,1050,-1.254,0.0886,0.4435,0.3325
GOOG,2026-02-06,7,-0.452,0.7972,0.5977,0.2374
GOOG,2026-02-13,14,-0.436,0.6032,0.5042,0.2414
GOOG,2026-02-20,21,-0.557,0.507,0.5144,0.2318
GOOG,2026-02-27,28,-0.542,0.4643,0.48,0.2283
GOOG,2026-03-06,35,-0.405,0.475,0.4146,0.2224
GOOG,2026-03-13,42,-0.424,0.4097,0.4109,0.237
GOOG,2026-03-20,49,-0.703,0.355,0.494,0.2443
GOOG,2026-04-17,77,-0.698,0.1588,0.3978,0.2869
GOOG,2026-05-15,105,-0.456,0.2224,0.3971,0.2957
GOOG,2026-06-18,139,-0.757,0.196,0.4323,0.2839
GOOG,2026-07-17,168,-0.564,0.1622,0.382,0.2905
GOOG,2026-08-21,203,-0.627,0.1612,0.3884,0.2873
GOOG,2026-09-18,231,-0.979,0.1276,0.407,0.2821
GOOG,2026-12-18,322,-2.424,0.0369,0.4015,0.3121
GOOG,2027-01-15,350,-3.52,0.0266,0.4051,0.3113
GOOG,2027-03-19,413,-3.645,0.0276,0.4116,0.3111
GOOG,2027-06-17,503,-4.576,0.023,0.4065,0.3012
GOOG,2027-12-17,686,-2.075,0.0547,0.4092,0.2958
GOOG,2028-01-21,721,-1.752,0.0615,0.4023,0.2946
GOOG,2028-12-15,1050,-2.428,0.0485,0.4155,0.2978
META,2026-02-02,3,0.037,1.0811,0.4433,0.4838
META,2026-02-04,5,0.153,0.8377,0.3864,0.5143
META,2026-02-06,7,-0.108,0.8089,0.6249,0.5379
META,2026-02-09,10,0.175,0.7879,0.3453,0.4835
META,2026-02-11,12,0.13,0.8001,0.3457,0.4501
META,2026-02-13,14,-0.02,0.7914,0.4451,0.4293
META,2026-02-20,21,-0.208,0.7498,0.5532,0.3974
META,2026-02-27,28,-0.06,0.7437,0.4136,0.3687
META,2026-03-06,35,0.023,0.694,0.3533,0.3692
META,2026-03-13,42,0.06,0.5419,0.3211,0.3536
META,2026-03-20,49,-0.21,0.4663,0.4339,0.3358
META,2026-04-17,77,-0.116,0.2917,0.3533,0.3195
META,2026-05-15,105,-0.213,0.2998,0.429,0.3652
META,2026-06-18,139,-0.198,0.3356,0.3993,0.3328
META,2026-07-17,168,-0.065,0.26,0.3552,0.3382
META,2026-08-21,203,-0.142,0.1913,0.373,0.3458
META,2026-09-18,231,-0.295,0.1701,0.3894,0.3392
META,2026-11-20,294,0.057,0.0499,0.3759,0.3787
META,2026-12-18,322,0.186,0.0305,0.3846,0.3902
META,2027-01-15,350,0.145,0.032,0.3779,0.3826
META,2027-06-17,503,-0.192,0.1658,0.3877,0.3559
META,2027-09-17,595,-0.304,0.1648,0.4059,0.3558
META,2027-12-17,686,-1.715,0.0319,0.4058,0.351
META,2028-01-21,721,-2.891,0.0189,0.4034,0.3487
META,2028-06-16,868,-0.718,0.0665,0.4062,0.3585
META,2028-12-15,1050,-0.411,0.1174,0.4159,0.3675
MS,2026-02-06,7,-0.315,0.6139,0.4839,0.2908
MS,2026-02-13,14,-0.109,0.4978,0.3798,0.3255
MS,2026-02-20,21,-0.05,0.4732,0.3748,0.3509
MS,2026-02-27,28,-0.166,0.3936,0.3503,0.285
MS,2026-03-06,35,-0.038,0.4102,0.2931,0.2775
MS,2026-03-13,42,-0.091,0.3019,0.2906,0.2632
MS,2026-03-20,49,-0.797,0.3133,0.51,0.2602
MS,2026-04-17,77,-0.187,0.4609,0.3671,0.281
MS,2026-05-15,105,-0.113,0.5443,0.3479,0.2863
MS,2026-06-18,139,-0.169,0.6348,0.3676,0.2603
MS,2026-07-17,168,-0.124,0.5823,0.3231,0.2509
MS,2026-08-21,203,-0.179,0.5224,0.3392,0.2455
MS,2026-09-18,231,-0.317,0.3431,0.3433,0.2344
MS,2026-12-18,322,-0.864,0.0664,0.3618,0.3045
MS,2027-01-15,350,-0.772,0.0578,0.3554,0.3109
MS,2027-12-17,686,-1.608,0.0303,0.337,0.2884
MS,2028-01-21,721,-1.29,0.0316,0.328,0.2873
MS,2028-12-15,1050,-1.796,0.0293,0.3289,0.2763
UBER,2026-02-06,7,-0.468,0.7463,0.6899,0.3406
UBER,2026-02-13,14,-0.64,0.449,0.5593,0.2721
UBER,2026-02-20,21,-0.715,0.316,0.5083,0.2823
UBER,2026-02-27,28,-0.488,0.3567,0.4995,0.3255
UBER,2026-03-06,35,-0.366,0.4162,0.4849,0.3326
UBER,2026-03-13,42,-0.295,0.3841,0.4907,0.3774
UBER,2026-03-20,49,-0.364,0.3828,0.5009,0.3615
UBER,2026-04-17,77,-0.117,0.4163,0.4065,0.3577
UBER,2026-05-15,105,-0.204,0.3761,0.4298,0.3531
UBER,2026-06-18,139,-0.311,0.3343,0.4519,0.3479
UBER,2026-08-21,203,-0.409,0.3143,0.443,0.3145
UBER,2026-09-18,231,-0.493,0.2456,0.4358,0.3148
UBER,2026-11-20,294,-0.939,0.1017,0.4381,0.3426
UBER,2026-12-18,322,-0.533,0.1146,0.4312,0.37
UBER,2027-01-15,350,-1.092,0.0679,0.4315,0.3574
UBER,2027-06-17,503,-2.9,0.0217,0.4476,0.3847
UBER,2027-12-17,686,-2.059,0.0197,0.4226,0.382
UBER,2028-01-21,721,-3.081,0.0121,0.4243,0.3869
