trial,objective,qlike,mz_beta_dev,xgb_max_depth,xgb_lr,xgb_n_est,xgb_reg_alpha,xgb_reg_lambda,xgb_gamma,xgb_colsample,xgb_min_child,xgb_subsample,rf_n_est,rf_min_leaf,rf_max_feat
58,0.021901758793988604,0.01937145862461216,0.35568948321369026,2,0.031305767786426214,250,0.41580378378024024,0.2191655480701912,0.24604451759528426,0.6231292421024788,10,0.8542231379777039,200,13,sqrt
81,0.02193870411527679,0.01939064382799367,0.3569355885368621,3,0.019648739270407632,300,0.15801582862459074,0.2402792044017667,0.22952200050201954,0.5247488592221429,8,0.8809514172914016,150,15,sqrt
56,0.02194100669257744,0.019177901276878608,0.3716924411189195,4,0.019439854344588097,300,0.14244002261169586,0.5227162263000754,0.19257206764183832,0.9967977758591889,6,0.7511017171255729,150,14,log2
30,0.021944425124705937,0.019643387067133717,0.3391930171430581,3,0.019011809767980146,250,0.1345706521989923,0.34037992722628624,0.08754448872326247,0.5530870564692424,8,0.8233352802551248,100,14,0.3
96,0.021999060193886043,0.019426857397357233,0.3586225590038092,2,0.07116364742229211,150,0.16158793531951032,0.46740979722124365,0.1645120423997803,0.6238366226011083,10,0.8836887428888416,100,12,sqrt
74,0.022070872215451988,0.019386258222940534,0.3663750805193671,3,0.027021247582533256,300,0.9350145336941674,0.35653828913793595,0.3016265294337746,0.9303732154495,9,0.8956537237765677,150,11,sqrt
19,0.02209228191128396,0.019531909246649787,0.35779691618529724,5,0.01089985538235007,150,0.03333121827919059,2.1094773285601534,0.14839008167593826,0.6140140671352292,4,0.7825027694453159,50,8,0.3
38,0.022097766060504783,0.019600315797015898,0.3533730510019748,5,0.037362179270678045,200,0.07807293083141423,0.18348635674699354,0.1821690429554103,0.6501180434244416,10,0.7651442981244203,100,12,0.3
27,0.022144624706072185,0.019078013967648823,0.3915744334365665,3,0.013276215710925134,200,0.001566290308842026,1.3540940815094784,0.3152595442958058,0.7323990469305456,6,0.7010928134806458,150,11,log2
88,0.02215469885017981,0.018906908549524898,0.4029758243775246,2,0.020579496638072566,100,1.560481062358937,0.25990557205646686,0.21565009192191295,0.5429945629860529,1,0.7897589852079677,100,15,sqrt
22,0.022157248622214822,0.019281831390182802,0.37917128266998423,2,0.029131007843683443,200,0.002453534565401417,0.45935206136673057,0.38686939229052136,0.8086183617640674,6,0.6673329092460774,150,11,sqrt
98,0.02219181536943491,0.019569696109835593,0.36208557411192993,3,0.0618721710227615,200,0.07285832741278264,0.31874120404407336,0.24695334702271285,0.6604721077222648,9,0.8504819796550025,100,10,0.3
36,0.022215404294650024,0.019786003960677315,0.34852548930979993,3,0.026395283690362252,250,0.6915730286050614,0.13169961274657452,0.1341895800179522,0.5617026587517963,8,0.9110331920647873,100,14,0.5
49,0.02224085214295543,0.019532646843825722,0.36798133778289,2,0.03764586903162566,200,0.5268602989607688,0.24582300772256743,0.16652046387678585,0.5815965532769162,5,0.8026952808708065,150,7,sqrt
21,0.022273017694570574,0.019360115879547907,0.3816347609313562,2,0.03215917889126649,200,0.0011709248440764605,0.42739403038430046,0.4176433488418809,0.7847187050396488,7,0.6756522965557357,150,10,sqrt
4,0.022298144313706476,0.019628569914742437,0.3653473962521178,3,0.022544116997360492,250,0.015054052714725995,0.3001230180898044,0.27134804157912423,0.5704621124873813,9,0.6298202574719083,200,12,0.3
