ticker,horizon,rmse,mz_alpha,mz_beta,mz_r2,n,v8_beta,v8_r2,delta_beta_to_1,delta_r2,v8_in_band,v10_in_band
AEP,126,0.056476,0.1982,1.0818,0.3542,2973,-0.1343738920310139,0.0097267198482389,-1.052573892031014,0.3444732801517611,False,True
AMD,21,0.097158,0.0145,0.9983,0.3243,2973,0.846643786311355,0.2119080055097363,-0.15165621368864501,0.11239199449026369,True,True
AMD,63,0.069705,0.0999,1.1101,0.4168,2973,0.4247238420902241,0.0456207749690512,-0.46517615790977573,0.3711792250309488,False,True
AMD,126,0.056009,0.007,0.9993,0.407,2973,0.6170433330428521,0.1173296376711795,-0.3822566669571479,0.2896703623288205,False,True
AMGN,21,0.053762,0.0807,1.0403,0.3684,2973,0.8719546430289572,0.2044828178487037,-0.0877453569710428,0.1639171821512963,True,True
AMGN,63,0.043106,0.222,1.1347,0.3526,2973,0.3718644364213007,0.0584650237274565,-0.49343556357869933,0.29413497627254354,False,True
AMGN,126,0.03104,0.1744,1.1109,0.4694,2973,0.3961726696993676,0.1075096900003886,-0.4929273303006324,0.36189030999961136,False,True
AMT,21,0.066659,0.0791,1.027,0.4925,2973,0.8456261731614684,0.2391725151985703,-0.1273738268385317,0.2533274848014297,True,True
AMT,63,0.060813,0.0428,1.0006,0.4224,2973,0.2663035644039179,0.0285828974429996,-0.7330964355960822,0.3938171025570004,False,True
AMT,126,0.047731,0.1456,1.0615,0.5564,2973,0.2590507852922457,0.0291359060927488,-0.6794492147077542,0.5272640939072512,False,True
APD,21,0.065076,0.0855,1.0288,0.4506,2973,0.8163199596359555,0.177933488904004,-0.15488004036404457,0.272666511095996,True,True
APD,63,0.058522,0.2748,1.1249,0.4175,2973,0.0854673482090244,0.0019480994928982,-0.7896326517909756,0.4155519005071018,False,True
APD,126,0.047003,0.4549,1.2275,0.5354,2973,0.3421863681196654,0.0512397247546432,-0.43031363188033456,0.48416027524535676,False,True
AVGO,21,0.0918,-0.1073,0.9067,0.3631,2973,0.800416603831609,0.098135793942422,-0.106283396168391,0.264964206057578,True,True
AVGO,63,0.075474,0.1053,1.0496,0.4023,2973,1.2935347188814723,0.1476418728699577,-0.24393471888147222,0.2546581271300423,True,True
AVGO,126,0.059878,0.1119,1.0558,0.4666,2973,1.0380829627346149,0.2200121022303048,0.017717037265385205,0.24658789776969522,True,True
AXP,21,0.081555,0.2123,1.0994,0.5515,2973,1.1599848719820818,0.3570923285602939,-0.060584871982081845,0.1944076714397061,True,True
AXP,63,0.077206,0.3392,1.1658,0.5005,2973,0.7731111713384494,0.1388825407343678,-0.06108882866155063,0.36161745926563216,True,True
AXP,126,0.059428,0.4232,1.2147,0.6687,2973,0.9547276105528152,0.2251317605773427,0.16942761055281508,0.4435682394226573,True,True
BAC,21,0.069981,-0.1489,0.8967,0.3915,2973,0.7091023675737622,0.2120254191884896,-0.18759763242623784,0.1794745808115104,True,True
BAC,63,0.059735,-0.0766,0.9344,0.3861,2973,0.5192095300577206,0.1136176608484809,-0.41519046994227937,0.2724823391515191,False,True
BAC,126,0.047643,-0.1286,0.8974,0.4444,2973,0.5944858848561659,0.1820325491215029,-0.30291411514383404,0.2623674508784971,False,True
BKNG,21,0.055844,-0.2532,0.8199,0.473,1175,0.6572794967712697,0.2785847518692004,-0.16262050322873023,0.19441524813079958,False,True
BKNG,63,0.048283,-0.1273,0.9152,0.4203,1175,0.2324943894677795,0.0348729029034744,-0.6827056105322205,0.3854270970965256,False,True
BKNG,126,0.036686,0.5299,1.3873,0.6253,1175,0.7254228274913949,0.179978429434729,0.11272282749139484,0.445321570565271,True,False
BLK,21,0.066518,0.1623,1.0935,0.4763,2973,1.407955882269048,0.4853051311563734,-0.3144558822690482,-0.009005131156373414,False,True
BLK,63,0.059933,0.3527,1.2024,0.4344,2973,1.1073930539001886,0.2442784635051585,0.0950069460998113,0.1901215364948415,True,True
BLK,126,0.048919,0.2335,1.1285,0.4807,2973,0.668632905395125,0.1661610508922133,-0.20286709460487495,0.3145389491077867,False,True
BMY,21,0.052254,0.0337,0.9984,0.3851,2973,0.8660724629460487,0.2422169735552399,-0.13232753705395128,0.1428830264447601,True,True
BMY,63,0.042118,0.3581,1.1941,0.3973,2973,0.8612740200060317,0.1331221070163686,0.05537402000603164,0.26417789298363137,True,True
