ticker,horizon,ew_alpha,ew_beta,ew_beta_raw,ew_r2,n,beta_capped
CSCO,63,0.08460712623925093,0.4523640411589533,0.452364,0.09193943374687907,2640,False
CSCO,126,0.033950845179918004,0.7335642042431503,0.733564,0.24245851744363023,2640,False
CVS,21,0.06599968770870823,0.7418343429738431,0.741834,0.16204771543600704,2640,False
CVS,63,0.14239386677653704,0.39234237274159806,0.392342,0.04007764831220584,2640,False
CVS,126,0.058781604101108526,0.7968189376764717,0.796819,0.17324117595692712,2640,False
CVX,21,-0.002401448506904602,1.02551714625118,1.025517,0.3902120866083131,2640,False
CVX,63,0.01323998509414448,0.9476449350900181,0.947645,0.22391471248262118,2640,False
CVX,126,0.015504502300340228,0.928562807106827,0.928563,0.15629812305034663,2640,False
D,21,0.053920192965409564,0.8111933946148864,0.811193,0.20258896710636198,2640,False
D,63,0.1383699094753975,0.4056166700514454,0.405617,0.05634305426468944,2640,False
D,126,0.1324716853729784,0.44501941290249514,0.445019,0.07419133303912784,2640,False
DE,21,0.013588506018286761,0.9421625313741379,0.942163,0.36520266194184536,2640,False
DE,63,0.08359206096675836,0.6204646003356187,0.620465,0.07348954652897122,2640,False
DE,126,-0.1305059373466185,1.611053574229139,1.611054,0.36188234688128107,2640,False
DIS,21,0.025085683100097428,0.8898524650145553,0.889852,0.3559825605493082,2640,False
DIS,63,0.038617724850128876,0.7985866433291301,0.798587,0.28078100310857235,2640,False
DIS,126,-0.007431054975762852,1.0244248580651223,1.024425,0.3524912859268362,2640,False
DOW,21,-0.021763360746283766,1.092568791512354,1.092569,0.35920551728180994,2640,False
DOW,63,0.1456903015473256,0.3094087808124592,0.309409,0.1296714221682641,2640,False
DOW,126,0.21369040604730555,0.0030563658150007263,0.003056,0.03437672284692883,2640,False
DUK,21,0.0459426468819292,0.7679514759762419,0.767951,0.1419675931932446,2640,False
DUK,63,0.1384605779805602,0.22159045990344825,0.22159,0.009656188090606754,2640,False
DUK,126,0.15906140384952802,0.08751348731470783,0.087513,0.0026897177431167707,2640,False
EOG,21,-0.04025154309519885,1.1331631355133869,1.133163,0.5236976898975221,2640,False
EOG,63,-0.0957373614973373,1.3116602710599161,1.31166,0.5001073640690854,2640,False
EOG,126,-0.06133328410852562,1.1594563644453335,1.159456,0.54239940132188,2640,False
EQIX,21,0.2200884499188762,0.005214522292022846,0.005215,0.0014705106849737248,2640,False
EQIX,63,0.09336105407624692,0.550229452309027,0.550229,0.09158050803170625,2640,False
EQIX,126,-0.01579838493003574,1.0250880375691345,1.025088,0.2441802104318137,2640,False
