ticker,n,inv_21_63_rate,inv_63_126_rate,inv_any_rate
HD,2516,0.40381558028616854,0.3744038155802862,0.6271860095389508
CVS,2516,0.41812400635930047,0.3712241653418124,0.6267885532591415
RTX,502,0.3904382470119522,0.3904382470119522,0.6254980079681275
PSX,2496,0.43830128205128205,0.41786858974358976,0.6245993589743589
WMT,2829,0.43124779073877695,0.33050547896783317,0.6214209968186638
CSCO,2516,0.39666136724960255,0.39109697933227344,0.6192368839427663
NFLX,2829,0.3980205019441499,0.4298338635560269,0.6185931424531637
ORCL,2829,0.4100388829975256,0.383881230116649,0.6182396606574762
BA,2516,0.35731319554848967,0.4109697933227345,0.6180445151033387
MO,2829,0.4061505832449629,0.3425238600212089,0.6171792152704135
BLK,2516,0.39268680445151033,0.4360095389507154,0.6164546899841018
OXY,2829,0.43761046306115237,0.3665606221279604,0.6136443973135384
ABT,2516,0.40659777424483307,0.39864864864864863,0.613275039745628
ABBV,2015,0.36029776674937963,0.3945409429280397,0.6129032258064516
NVDA,2829,0.38776952986921176,0.4019088016967126,0.6090491339696006
SCHW,2829,0.3944856839872747,0.35100742311770944,0.6090491339696006
SO,2829,0.4139271827500884,0.36974195828914813,0.6086956521739131
AAPL,2516,0.3700317965023847,0.38910969793322736,0.6085055643879174
PFE,2829,0.4443266171792153,0.33898904206433367,0.6069282431954754
AMAT,2516,0.41573926868044514,0.3179650238473768,0.6049284578696343
AMZN,2516,0.4117647058823529,0.435214626391097,0.604133545310016
NEM,2829,0.4559915164369035,0.30823612583951926,0.601272534464475
GOOGL,2013,0.4217585692995529,0.35171385991058124,0.6010928961748634
T,2829,0.33934252386002123,0.4047366560622128,0.5867797808412867
VZ,2829,0.3630258041710852,0.3715093672675857,0.5828914810887239
GILD,2516,0.4018282988871224,0.3565182829888712,0.5826709062003179
AMT,2516,0.3350556438791733,0.36764705882352944,0.5802861685214626
BMY,2516,0.4058028616852146,0.2972972972972973,0.5751192368839427
CL,2829,0.33015199717214566,0.367621067515023,0.5698126546482856
META,190,0.4263157894736842,0.4105263157894737,0.5684210526315789
GE,2829,0.34287734181689644,0.34676564156945916,0.5613290915517851
C,2516,0.3696343402225755,0.3032591414944356,0.5600158982511924
JPM,2829,0.3905973842347119,0.3340402969247084,0.5570873100035348
BKNG,1031,0.34917555771096026,0.4073714839961203,0.5431619786614937
