ticker,horizon,bucket,n,rmse,qlike,mean_y_true,mean_y_pred,mean_bias
AVGO,126,top_10,252,0.16658878684879735,0.12273428912940292,0.44323484625136467,0.3018948389030952,-0.14134000734826946
AXP,21,bottom_10,252,0.03028644548730061,0.025204231977276434,0.11036267861116188,0.1367963414985223,0.02643366288736043
AXP,21,middle_80,2012,0.03556297636132589,0.017365140675163412,0.18680179136010033,0.17966577984836646,-0.00713601151173386
AXP,21,top_10,252,0.2521743293940609,0.2929427264474476,0.40904897428614057,0.24697445344727176,-0.16207452083886878
AXP,63,bottom_10,252,0.023243536175849417,0.014251833129005026,0.11930122726752045,0.1377024851479912,0.018401257880470694
AXP,63,middle_80,2012,0.03568171725862562,0.017569047219873707,0.19307269670706914,0.18260359238899387,-0.010469104318075295
AXP,63,top_10,252,0.24962074771231005,0.3940291462949171,0.40662893323615285,0.22652934669552494,-0.1800995865406279
AXP,126,bottom_10,252,0.019997702649124642,0.010330607399171824,0.12548666968931602,0.14194647745646732,0.0164598077671513
AXP,126,middle_80,2012,0.02870431060591065,0.011090828704651924,0.19720866535996648,0.18476004145527927,-0.012448623904687213
AXP,126,top_10,252,0.20038219294707954,0.2562472187898154,0.40935490201063485,0.2435811159336991,-0.16577378607693577
BA,21,bottom_10,252,0.031128114356098375,0.021947418235245035,0.12632090136175997,0.15032416081460992,0.024003259452849944
BA,21,middle_80,2012,0.05849313858848837,0.02669215359719895,0.24143362145520125,0.22914324096526817,-0.012290380489933105
BA,21,top_10,252,0.38876035349868177,0.3517514740349868,0.6039305586295702,0.39188965835722167,-0.21204090027234854
BA,63,bottom_10,252,0.02041190030593903,0.00863008908245009,0.1366029240181708,0.15350733293027075,0.01690440891209991
BA,63,middle_80,2012,0.04977465460526573,0.022639303893713766,0.25074243478680763,0.2380300235867426,-0.01271241120006494
BA,63,top_10,252,0.36378936442114224,0.3525639639398702,0.6073800287797609,0.39824941788046925,-0.2091306108992917
BA,126,bottom_10,252,0.023029004946843686,0.010292141784786577,0.14136799199842257,0.15929930820195373,0.017931316203531174
BA,126,middle_80,2012,0.04082996830106084,0.014983986291823516,0.25889126816926344,0.24823961846167433,-0.010651649707589089
