ticker,regime,mean_bias,n
JPM,rate_shock,-0.0063211336033779306,251
KO,covid,-0.10745122144919614,168
KO,normal,-0.0037294619971618794,1908
KO,post_norm,-0.0006000948211206201,502
KO,rate_shock,-0.02107196226385714,251
LIN,covid,0.0550619280368198,168
LIN,normal,0.016891570813596917,1262
LIN,post_norm,0.009474922736535723,502
LIN,rate_shock,-0.007630761633182,251
LLY,covid,-0.06460040587505099,168
LLY,normal,-0.01438555935416438,1908
LLY,post_norm,-0.007795007397810051,502
LLY,rate_shock,-0.02960190445604713,251
LMT,covid,-0.08791381629443384,168
LMT,normal,-0.0076060033467148635,1908
LMT,post_norm,0.008421341209998929,502
LMT,rate_shock,-0.034364854774173975,251
LOW,covid,-0.10018311607262384,168
LOW,normal,-0.004439013990476466,1908
LOW,post_norm,0.008091439042290052,502
LOW,rate_shock,-0.034920220751325955,251
MCD,covid,-0.10492847911269199,168
MCD,normal,-0.007309444180191126,1908
MCD,post_norm,-0.0023424829780412143,502
MCD,rate_shock,-0.015023151514427548,251
META,normal,0.0051285028046048845,187
MMM,covid,-0.05613404356918378,168
MMM,normal,-0.007355386225608597,1908
MMM,post_norm,-0.0038024903536693117,502
MMM,rate_shock,-0.012463832966183233,251
MO,covid,-0.06309169443575856,168
MO,normal,-0.012135804353874593,1908
MO,post_norm,0.011080024345134326,502
MO,rate_shock,-0.017886592326521133,251
MPC,covid,-0.19335375763274515,168
MPC,normal,-0.007090417794098212,1784
MPC,post_norm,0.009506977693698064,502
MPC,rate_shock,-0.024777997345253787,251
MRK,covid,-0.07762024851887028,168
MRK,normal,-0.011148910937946972,1908
MRK,post_norm,-0.0038342896769655325,502
MRK,rate_shock,-0.02403800913386856,251
MS,covid,-0.09876432382519983,168
MS,normal,-0.0031874379620580344,1908
MS,post_norm,0.013709412656274499,502
MS,rate_shock,-0.01615806640386114,251
MSFT,covid,-0.09142664429876486,168
MSFT,normal,-0.00555027348448771,1908
MSFT,post_norm,0.0024579912494550643,502
MSFT,rate_shock,-0.03096716352487911,251
MU,covid,-0.0714355523946105,168
MU,normal,-0.0007799767531238285,1908
MU,post_norm,0.013594924426351107,502
MU,rate_shock,-0.024517145141081904,251
NEE,covid,-0.13878570908458868,168
NEE,normal,-0.004217568924681556,1908
NEE,post_norm,-0.00753572126678943,502
NEE,rate_shock,-0.01976923487930095,251
NEM,covid,-0.08970572959714952,168
NEM,normal,-0.00637284864617957,1908
NEM,post_norm,0.00514051735300006,502
NEM,rate_shock,-0.028181229924832702,251
NFLX,covid,-0.07064471713745712,168
NFLX,normal,0.00645305380675215,1908
NFLX,post_norm,0.02427167874354109,502
NFLX,rate_shock,-0.011028651779276921,251
NKE,covid,-0.121289111220402,168
NKE,normal,-0.011538740187375078,1908
NKE,post_norm,-0.0019446744353092957,502
NKE,rate_shock,-0.03830481823447064,251
NOC,covid,-0.07838119366457028,168
NOC,normal,-0.005056207484099524,1908
NOC,post_norm,0.009350308645422597,502
NOC,rate_shock,-0.03791336440222149,251
NVDA,covid,-0.10652396820822119,168
NVDA,normal,-0.016695814322056083,1908
NVDA,post_norm,-0.0061168236151695815,502
NVDA,rate_shock,-0.029544181055845477,251
ORCL,covid,-0.0934942826517359,168
ORCL,normal,-0.012302807022638538,1908
ORCL,post_norm,-0.011181458468793875,502
ORCL,rate_shock,0.004755983964194962,251
OXY,covid,-0.1358194469537945,168
OXY,normal,-0.015418689666388626,1908
OXY,post_norm,0.009954593894243715,502
OXY,rate_shock,-0.009510646396398368,251
PEP,covid,-0.10241652622418072,168
PEP,normal,-0.008876300518850376,1908
PEP,post_norm,0.0012050455039135527,502
PEP,rate_shock,-0.022844834701024743,251
PFE,covid,-0.06907289226199673,168
PFE,normal,-0.01403970159970752,1908
PFE,post_norm,-0.005797867264034726,502
PFE,rate_shock,-0.021793190575184196,251
PG,covid,-0.08681688578415367,168
PG,normal,-0.006803347468441944,1908
PG,post_norm,0.00459687254629176,502
PG,rate_shock,-0.023052357488265566,251
PLD,covid,-0.10199681379864313,168
PLD,normal,-0.003395377479649561,1908
PLD,post_norm,-0.00167903386599575,502
PLD,rate_shock,-0.031634880915822,251
PM,covid,-0.07277093987953359,168
PM,normal,-0.008681174042860939,1908
PM,post_norm,0.009343240260773312,502
PM,rate_shock,-0.011286985471741041,251
PSX,covid,-0.06851448124226843,168
PSX,normal,-0.00954313163779432,1575
PSX,post_norm,0.0021809102655225426,502
PSX,rate_shock,-0.027806142689803335,251
QCOM,covid,-0.09846607848630692,168
QCOM,normal,-0.018630850903100883,1908
QCOM,post_norm,0.0037052941250326253,502
QCOM,rate_shock,-0.037313295246931104,251
RTX,normal,-0.008659443832211636,187
RTX,post_norm,0.010589449234529957,315
SBUX,covid,-0.10275205825485523,168
SBUX,normal,-0.00853748739670586,1908
SBUX,post_norm,0.00019732007124589692,502
SBUX,rate_shock,-0.02850426440727415,251
SCHW,covid,-0.13408229163195287,168
SCHW,normal,-0.0051443407843349016,1908
SCHW,post_norm,0.0005379788073387229,502
SCHW,rate_shock,-0.01798235934006075,251
SLB,covid,-0.130443085089739,168
SLB,normal,-0.010713003661584154,1908
SLB,post_norm,0.017468986624099892,502
SLB,rate_shock,-0.026435231168053738,251
SO,covid,-0.10354311708177152,168
SO,normal,-0.006789749187320884,1908
SO,post_norm,0.0028348631107351216,502
