ticker,horizon,dm_sq,p_sq,dm_ql,p_ql,model_rmse,naive_rmse,model_qlike,naive_qlike,n
CCI,63,-7.372921426861155,2.237961188059024e-13,-5.803432812469056,7.292931455527632e-09,0.06325308274158278,0.07585915281527578,0.03493204096101408,0.043879444267486356,2577
CCI,126,-13.384604518527647,1.6236148258127642e-39,1.9160971540230889,0.05546606566167418,0.05237583811101259,0.0710254382866912,0.07491007713230363,0.0410270753440025,2514
CL,21,-5.639994636281523,1.8828098483894415e-08,-6.968471166820945,4.038799515781202e-12,0.06559345923309313,0.08088459966163374,0.049786520603213986,0.0650730852080627,2619
CL,63,-12.601616947410715,2.2374195015687023e-35,-11.665553782861014,1.1133424905489258e-30,0.05647349988300912,0.07737669691938348,0.04170290278710814,0.07108940195572798,2577
CL,126,-20.517101592396987,1.2872086149685492e-86,-20.815407865414457,6.544742043458575e-89,0.04538365669198634,0.06832955323147265,0.029594061786456932,0.06269788536412803,2514
CMCSA,21,-4.941178059637994,8.254788536690845e-07,-7.823254416505067,7.40534305356899e-15,0.06696853667883629,0.07978212756482737,0.03198823488014124,0.04131047960403763,2619
CMCSA,63,-9.377410497285345,1.4320774018906995e-20,-9.759742188562214,4.030035773201849e-22,0.06237696008400994,0.07712754554863685,0.03280266042901234,0.0435038947117203,2577
CMCSA,126,-17.639030006449822,9.629454264463359e-66,-18.06894675052636,1.0378790591529326e-68,0.05242113576872572,0.07197029158990621,0.02472036361849678,0.04376166472466956,2514
COP,21,-5.894526607354353,4.2399886663370255e-09,-2.975100542797183,0.002955712313611173,0.0984549961309935,0.1137088603171972,0.037753686164101914,0.04070180140701521,2619
COP,63,-9.980343706055383,4.8416899208138935e-23,-7.793675396747417,9.36755259256347e-15,0.10514866235650779,0.13005274709479123,0.05173732764072272,0.06595829779619096,2577
COP,126,-19.148526467884714,2.1214753871496648e-76,-15.226142567147843,3.8259260046305827e-50,0.09812074233367543,0.12515395034152288,0.052245729176060296,0.07264340994979823,2514
COST,21,-7.084534237713628,1.7859007311802641e-12,-7.630403914451072,3.2548296799030226e-14,0.05440262634896519,0.06554427365143949,0.03798428155830422,0.04903021533430578,2619
COST,63,-13.579235923172456,1.2849926720315409e-40,-13.623846515850625,7.273203711470884e-41,0.049662926783695764,0.06548021904296075,0.03669088354436634,0.061758061190792315,2577
COST,126,-22.0430627007795,1.3673065792898481e-98,-21.102076537757323,3.888519342324275e-91,0.04149373440147101,0.05536754637890122,0.026647635670108784,0.04529704608331643,2514
CRM,21,-7.087556379721602,1.7480622627733535e-12,-6.3153801140308214,3.1558263318181856e-10,0.07952421781518693,0.09402073091528315,0.03793620625001819,0.04596938503983649,2619
CRM,63,-13.5788706456575,1.2909864649092811e-40,-12.560993618363591,3.632178291888518e-35,0.07369966010576338,0.09224006693077377,0.03609252775097399,0.052317074974408045,2577
CRM,126,-25.16053730235132,8.87530152675404e-125,-22.190061690958128,8.944823805511837e-100,0.05941095351367042,0.08101665785113993,0.02400108910790252,0.04439669133352917,2514
CSCO,21,-4.068826172628767,4.864825415204845e-05,-3.881776457679852,0.00010625821223746691,0.06519429189226048,0.07561583746484236,0.03749957769146167,0.042800411947369665,2619
CSCO,63,-10.090765889426432,1.6494314283818617e-23,-9.421551258310956,9.546069517346836e-21,0.0604905352164932,0.07724294792115054,0.038144695145827974,0.05505068839656192,2577
CSCO,126,-15.04223903208971,4.957930289330564e-49,-17.047942038666104,9.394202032941459e-62,0.047746921927794936,0.06819458135882547,0.024325155164455405,0.044714027031032354,2514
CVS,21,-5.431935155674321,6.087692209438949e-08,-3.161262523072463,0.0015888257396475829,0.07635673442925671,0.09109838679703831,0.04703742695736713,0.052449950235880435,2619
CVS,63,-11.325952268928571,4.6921219006480076e-29,-9.139097576557155,1.2413322410564512e-19,0.0681815212434039,0.0857889325001094,0.043788662644291605,0.06153576716222896,2577
CVS,126,-22.50876813130695,2.322344687541193e-102,-20.710111805263054,4.2482007567429377e-88,0.05105321703633398,0.07633033680282332,0.025006319718109068,0.05666273824821445,2514
CVX,21,-4.2732390928811546,1.9953673771588883e-05,-4.171005744747249,3.131262486469834e-05,0.07776967823089372,0.08701137099505993,0.041515272988367435,0.04619008854079863,2619
CVX,63,-10.073471356812941,1.953836659104468e-23,-8.163269623786862,5.044631835306431e-16,0.08106135712216113,0.10394112311106231,0.05705269444682045,0.08684817712427521,2577
CVX,126,-17.96456366571011,5.516726364662268e-68,-16.47888696607279,5.1536786646843036e-58,0.07791702059262573,0.09999080701696153,0.057196591122296456,0.09158687871218946,2514
D,21,-2.7392900117705072,0.006198930926045788,0.09172200564961235,0.9269259304839177,0.06681601738528203,0.0747270091618934,0.03826653580633599,0.038124165774492486,2619
D,63,-9.05055649157336,2.7335689244871584e-19,-6.933975307801496,5.153798775890316e-12,0.06389252571031771,0.07882493280547247,0.04326146769342438,0.06379623692124332,2577
D,126,-12.768330311092257,3.207637397429869e-36,-10.715653343888132,3.1388299844234915e-26,0.05411260783382135,0.07400177018452103,0.03400633168736265,0.06085712411108867,2514
DE,21,-5.677532190135178,1.516983093706419e-08,-7.9985526267963545,1.871666192359154e-15,0.06453161203880038,0.07601644969149973,0.028762154819554533,0.0371666320246094,2619
DE,63,-9.425482891805032,9.206593701641817e-21,-8.728761439167107,4.539247755900861e-18,0.06633977416292246,0.081998291888783,0.034198160761639756,0.04784704125524078,2577
DE,126,-17.059877850147185,7.82271684910131e-62,-18.555842042759966,3.8878951428818414e-72,0.05774993782848531,0.07869111422073671,0.027259857133399006,0.04862145492384464,2514
DIS,21,-2.592974742950047,0.009567945788701088,-1.6717824962477292,0.09468672264590158,0.07092864487175492,0.0769255902865298,0.04397676900291536,0.04747921726445667,2619
DIS,63,-7.538391128050214,6.550463806181283e-14,-4.846583986238758,1.3306476435868868e-06,0.06362224796658361,0.0776768319173401,0.03762496626350237,0.0476492345596853,2577
DIS,126,-15.061324383022896,3.8050313774540376e-49,-13.67456378847905,4.110026402162896e-41,0.055504041520633866,0.0751849894701064,0.03138826957483977,0.05165457682943633,2514
DOW,21,-3.6274914197070163,0.00029165685018472693,-2.608479784667112,0.009146255520919975,0.09837718649221694,0.11221020647141014,0.035479835330163516,0.038828609396041346,2619
DOW,63,0.7859016682837581,0.4319973791931657,-2.381198076155784,0.01732869399217056,0.17163264613142473,0.12015192398726869,0.05264975477383864,0.05913798847563298,2577
DOW,126,2.5266834549960993,0.011575433502992213,-1.269846827211846,0.2042567673814231,7.2894714521905275,0.11308421202494742,0.05078420391672451,0.057121814833727316,2514
DUK,21,-3.6141091855348138,0.00030706119248130424,-2.7047422844639417,0.006879998165421892,0.060840066427115085,0.0685466583512993,0.03882696019692005,0.04356253744655893,2619
DUK,63,-9.577233585889116,2.2519755641747044e-21,-8.603772533841513,1.3182821786721656e-17,0.05735293022418157,0.0715112124153118,0.041055233013844665,0.059528753922112695,2577
DUK,126,-14.767515664329409,2.1699499419825775e-47,-13.212752294532269,1.3897725916855185e-38,0.04733984901644195,0.06610529706192472,0.030375266549610525,0.05986044801424648,2514
EOG,21,-1.4721701926300559,0.14109512328131749,-0.3463638552573559,0.7290971192001492,0.106631406370698,0.11104185015178024,0.03433605482772914,0.034739597383157954,2619
EOG,63,-7.069385015800702,1.9958812498208876e-12,-4.266514336195975,2.0571789700230382e-05,0.10741516606399243,0.12644209201841927,0.042739740837446895,0.049140581922421954,2577
EOG,126,-15.455938244117679,1.5029091243139564e-51,-14.915487815566603,2.854989981539575e-48,0.09472232920261477,0.11547456186344404,0.033581504915162826,0.04636373366566163,2514
EQIX,21,1.7337598457150682,0.08307842956827294,0.4601399582645753,0.6454539768432677,5.017343536724328,0.07873448660698762,0.04034530129861679,0.03849522908702005,2619
EQIX,63,-11.919677104297797,6.354237643927959e-32,-15.62236986155895,1.2355757024999338e-52,0.059662039219921116,0.07883647964488104,0.023977741989367515,0.04015243132727398,2577
EQIX,126,-18.84031517860227,3.5978206110446944e-74,-22.33190082735914,6.36599258949273e-101,0.0470783384869945,0.06937705035255949,0.015927594629128333,0.03350498419128773,2514
F,21,-5.349078590882718,9.605120626894405e-08,-3.0408423303277288,0.0023825482936931865,0.0972642731678218,0.11085478874998037,0.048191429026003985,0.05268221404891699,2619
F,63,-12.0178468056256,2.0717454700493053e-32,-11.414588698042994,1.7841129686162145e-29,0.0965532890186313,0.11726936277289338,0.05477379025127956,0.08659441036563877,2577
F,126,-15.072769298515846,3.246183944858106e-49,-15.155834963625498,1.021864072754272e-49,0.08611947996980275,0.10709921283696604,0.043837536302671294,0.07013344061072148,2514
FCX,21,-3.0194422272351975,0.0025568555319299274,-1.0362974350975844,0.3001591098329416,0.12215936218325685,0.13301513207555832,0.029263696089370097,0.030209530317502068,2619
FCX,63,-7.423837279639938,1.5375655346609906e-13,-5.4925300368833065,4.3500013705497494e-08,0.1288840581071756,0.14594051801143731,0.03674035398001537,0.04290630055193237,2577
