ticker,horizon,n,median_delta,p95_delta,seam_median_delta,off_seam_median_delta,seam_ratio,p_mw
COST,126,2639,0.0008529213862085994,0.007842553406237707,0.0008720070325044238,0.0008469357502504937,1.0296023426175065,0.3885149466765325
CRM,21,2639,0.0032901872187011127,0.025797218103576637,0.003540922555710757,0.00314382035516024,1.1263119885010977,0.04565014379364364
CRM,63,2639,0.0017799976107419901,0.015010961494042501,0.0018365859144970909,0.0017540781041528453,1.0470377061026561,0.3270312524834519
CRM,126,2639,0.0010245588584144039,0.013651868507732453,0.0010734977371038013,0.0010108787673949043,1.0619450835536588,0.29321586611027484
CSCO,21,2639,0.0019343972374139817,0.01425732550247231,0.002055491412601612,0.0019020415277003905,1.0806764114591894,0.29504213087408626
CSCO,63,2639,0.0011780523725183067,0.010325640256920744,0.0011845872652554157,0.0011770869045158588,1.0063719685528587,0.5820482889423684
CSCO,126,2639,0.0007635025678935925,0.011467296149484604,0.0008424618495025127,0.0007284892819156008,1.1564505757548211,0.03441415170908707
CVS,21,2639,0.0026447329463133995,0.016337596229856977,0.0025755098858702974,0.0027115629803071972,0.9498248444070858,0.6547694584594306
CVS,63,2639,0.001169911826726211,0.012172443665408001,0.0012543516602828986,0.001146558930598951,1.0940141206938554,0.21376125858923373
CVS,126,2639,0.0009428289659549893,0.011361095291755023,0.0009483588545353139,0.0009336060286712494,1.015801982218411,0.3165013164923349
CVX,21,2639,0.0027527932223481155,0.018733256343080557,0.002922796643633596,0.002681839262986499,1.089847808544188,0.042428697089596026
CVX,63,2639,0.0015117272010488902,0.014647892670172512,0.0015615210100737853,0.0014883614836243841,1.0491544072151389,0.21718766675739276
CVX,126,2639,0.0010132023330085005,0.011256406813122831,0.0010416984074010927,0.0010102294243053006,1.0311503331210454,0.25487633611970184
D,21,2639,0.002276469252566693,0.012438405857260838,0.0023849754697559955,0.0022404008471931386,1.0645306944710298,0.06757923847125934
D,63,2639,0.0010618975483414062,0.00808282211112485,0.0011433004815653985,0.0010227790521253055,1.1178372095025342,0.04944286036331879
D,126,2639,0.0006930847576651911,0.006517150368257322,0.0007844641973299982,0.0006526756308268544,1.201920464436806,0.025347918134416506
DE,21,2639,0.002690459224657271,0.019922846976839596,0.0029559258647033904,0.002612906466311654,1.1312788662029445,0.02528732459900261
DE,63,2639,0.001466068760259981,0.013014382313354684,0.00165798021537511,0.0014010508471303529,1.183383328857052,0.021730933032422406
DE,126,2639,0.0010423188099349945,0.011063982188374726,0.0011787720535432755,0.0009825761453459009,1.1996750166658146,0.017679691411409362
DIS,21,2639,0.003086275098622998,0.018985440862154368,0.003224792253073594,0.003043666602113762,1.0595090312565916,0.04531777113122286
DIS,63,2639,0.0013089997359104766,0.013598399807074401,0.0011817414023272965,0.0013594438442522394,0.8692829845997148,0.9006621218655058
DIS,126,2639,0.0009073169793147873,0.00901255341969762,0.0009612661238173059,0.0008943623272019835,1.0748061435286873,0.09205275320484302
DOW,21,2639,0.0028660749669593144,0.0206596309782523,0.003025254284916401,0.0028190416136869983,1.0731499209618616,0.037180868155192885
DOW,63,2639,0.0014550740159294806,0.01895877568497866,0.0015119920010771004,0.0014319097758061922,1.0559268653821574,0.4793532117571846
DOW,126,2639,0.0011129736686088243,0.020453049473156463,0.0011481004881664092,0.0010975517835140475,1.046055872179916,0.2626487108450768
DUK,21,2639,0.0022722447995142114,0.01227871356812793,0.0023740469781602935,0.0022403042630985553,1.0596984602782298,0.13445996619622247
DUK,63,2639,0.0013011862906008864,0.008082277184063824,0.0013077472610655005,0.0013010801468931882,1.0051242916804415,0.20506287242462362
DUK,126,2639,0.0007642179795498139,0.008211397860505964,0.0008544114260534974,0.0007482456255211573,1.141886296305969,0.06737096089491591
EOG,21,2639,0.004402032312504411,0.02792935232730821,0.004998846235449106,0.0041574241439529536,1.2023902451040545,0.0006180179428752238
EOG,63,2639,0.00218682586349489,0.01778133628399704,0.002372927281672793,0.002132144289013635,1.1129299709685916,0.062246819982756656
EOG,126,2639,0.0015364003365960222,0.01709967484849575,0.001561451818310411,0.0015236989830655079,1.0247770955185314,0.1621822044947568
EQIX,21,2639,0.0031318055094327057,0.017396052307710446,0.002904421135061397,0.0032032711395205,0.9067047429198147,0.9059264955710878
EQIX,63,2639,0.0015015773522857045,0.010114471322914388,0.0013884771344511992,0.001546688684366096,0.897709505788659,0.869152612706396
EQIX,126,2639,0.0008915798302020217,0.007203695796369001,0.0009189302005320754,0.0008884451483958944,1.0343128128857728,0.2533691833134994
F,21,2639,0.003889940444088691,0.027394574516397475,0.003968921870322301,0.0038605328510374626,1.0280761810524963,0.21938835699664355
F,63,2639,0.0019460682999421774,0.021323103612761254,0.0018662173470272991,0.0020075999305215475,0.9295763158063474,0.9607274570286011
F,126,2639,0.001254245077192906,0.013208135356307512,0.0012349819347590996,0.0012697866800830404,0.9725900847206361,0.8049103288978436
FCX,21,2639,0.005156779117853227,0.03720133108768865,0.005475765584794401,0.005028426916255019,1.088961950922127,0.13487997434384102
FCX,63,2639,0.0031160642624271095,0.02674733763832481,0.003231919786878701,0.0030747262506826134,1.0511244004766893,0.315264877397583
FCX,126,2639,0.002336789549558793,0.023963977590446547,0.002331095378296011,0.0023469108919768333,0.9932611358467467,0.1479391563770383
FDX,21,2639,0.002470989357443193,0.01622533407937404,0.00241044315744382,0.002498926639269594,0.9645914047914441,0.6775720973288283
FDX,63,2639,0.0012359680981464949,0.010948910233242645,0.0011996354053027125,0.00126225007851484,0.9503943994316881,0.4617140306376937
FDX,126,2639,0.0009633420476245214,0.010350703930372794,0.0008982931505688019,0.000996715369220455,0.9012534353426992,0.8938285888568243
GE,21,2952,0.0035819788268176,0.02481517591987941,0.0033798327436090903,0.0037501137254646877,0.9012613992633743,0.8958266632763687
GE,63,2952,0.0020571632448877636,0.02286451069881852,0.0019111374848941598,0.0021416924864233883,0.8923491570378277,0.6435488305396363
GE,126,2952,0.001183396750690846,0.012756707535243068,0.0012670639282469642,0.0011459812468094521,1.105658519085387,0.04254735835849727
GILD,21,2639,0.003035957677878176,0.02032588632277422,0.0030941807031230895,0.0029876928302010053,1.0356421757436556,0.07149936311943719
GILD,63,2639,0.0019132760157618,0.013233013071085337,0.0018007528951718144,0.001968786410382492,0.9146512215217737,0.861828164560954
GILD,126,2639,0.0013901856079268915,0.012288673368044501,0.001289052108616101,0.0014165673049609945,0.909982959582422,0.9485686172182669
GM,21,2639,0.003354906460099505,0.020513380139618186,0.0035871373573065912,0.003315533430393494,1.0819186211254286,0.09942250971980543
GM,63,2639,0.0021787523611664916,0.013115432239800972,0.002190282023347284,0.0021757834365093154,1.0066636166976386,0.6683182279981034
GM,126,2639,0.0012314555745626954,0.01254368614500871,0.0011534826952794286,0.0012694468042828005,0.9086498870120925,0.7329471344282226
GOOGL,21,2136,0.0033716383129917954,0.02674174910544072,0.003539841319779913,0.003305436000023698,1.0709150985693066,0.581961513598287
