ticker,sector,horizon,alpha,beta,r2,rmse,mae,qlike,hit_rate,n_obs,flag
CMCSA,Comm,126,-0.03703,1.2595,0.3617,0.045983,0.026163,0.001007,0.5114,2676,
COP,Energy,21,0.02216,0.9899,0.499,0.093489,0.046684,0.003756,0.4953,2676,
COP,Energy,63,0.02136,1.0169,0.4073,0.09384,0.048202,0.003913,0.4763,2676,
COP,Energy,126,0.03554,0.9831,0.3985,0.08746,0.047823,0.003514,0.4864,2676,
COST,Staples,21,-0.01735,1.1629,0.3618,0.05111,0.029191,0.001228,0.4748,2676,
COST,Staples,63,-0.02966,1.2667,0.3746,0.044307,0.028036,0.000945,0.5006,2676,
COST,Staples,126,-0.04009,1.3228,0.4832,0.034925,0.023692,0.000596,0.5047,2676,
CRM,Tech,21,-0.018,1.0942,0.3672,0.073946,0.048486,0.002559,0.4729,2676,
CRM,Tech,63,0.00407,1.0101,0.3239,0.063822,0.043811,0.001947,0.4804,2676,
CRM,Tech,126,-0.0014,1.03,0.4261,0.049572,0.035193,0.001198,0.5088,2676,
CSCO,Tech,21,0.00909,0.9694,0.2202,0.062718,0.033436,0.001791,0.4778,2676,
CSCO,Tech,63,-0.04259,1.2713,0.2274,0.054326,0.030412,0.001385,0.4879,2676,
CSCO,Tech,126,-0.05603,1.3343,0.4614,0.04001,0.025427,0.000776,0.5021,2676,
CVS,Health Care,21,0.05405,0.7828,0.2288,0.072659,0.037266,0.002422,0.5009,2676,
CVS,Health Care,63,0.05734,0.7981,0.1981,0.06377,0.035096,0.001909,0.4905,2676,
CVS,Health Care,126,0.00921,1.029,0.4916,0.043553,0.028914,0.000923,0.5073,2676,
CVX,Energy,21,0.01343,0.9908,0.476,0.069971,0.03498,0.002193,0.4763,2749,
CVX,Energy,63,0.01279,1.0336,0.3106,0.073568,0.035739,0.002445,0.4822,2749,
CVX,Energy,126,0.00288,1.1145,0.2979,0.068036,0.035023,0.002148,0.4862,2749,
D,Utilities,21,-0.00211,1.0811,0.3363,0.061531,0.029339,0.001673,0.486,2676,
D,Utilities,63,-0.00321,1.1211,0.2946,0.057844,0.026978,0.001532,0.4707,2676,
D,Utilities,126,-0.00964,1.1648,0.3754,0.049747,0.025057,0.001166,0.4912,2676,
DE,Industrials,21,0.01793,0.9628,0.4788,0.062254,0.033431,0.001773,0.4931,2676,
DE,Industrials,63,0.00872,1.0341,0.4202,0.059792,0.031884,0.001663,0.4957,2676,
DE,Industrials,126,0.00353,1.0707,0.4501,0.053352,0.029146,0.001348,0.4912,2676,
DIS,Comm,21,-0.00316,1.0717,0.4249,0.064716,0.033836,0.00188,0.4961,2676,
DIS,Comm,63,0.00849,1.0451,0.3382,0.063149,0.032256,0.00183,0.4957,2676,
DIS,Comm,126,-0.04566,1.3454,0.4833,0.053549,0.029164,0.001355,0.5163,2676,
DOW,Materials,21,-0.00678,1.0774,0.3846,0.094095,0.038725,0.003664,0.4284,2676,
DOW,Materials,63,-0.03782,1.2379,0.4084,0.08643,0.039753,0.003288,0.4374,2676,
DOW,Materials,126,0.07629,0.7118,0.2815,0.089508,0.041136,0.00485,0.4389,2676,
DUK,Utilities,21,0.00805,1.012,0.3152,0.055604,0.027839,0.001402,0.4864,2676,
DUK,Utilities,63,-0.0041,1.1164,0.2599,0.051534,0.026123,0.001232,0.4998,2676,
DUK,Utilities,126,-0.02979,1.2843,0.3717,0.043112,0.02455,0.000887,0.5084,2676,
EOG,Energy,21,-0.03721,1.1845,0.5362,0.091578,0.046307,0.003578,0.4879,2676,
EOG,Energy,63,-0.06235,1.3157,0.4445,0.094786,0.051004,0.00398,0.4654,2676,
EOG,Energy,126,-0.04687,1.2485,0.5272,0.080576,0.046009,0.002983,0.495,2676,
EQIX,REIT,21,0.02921,0.8788,0.2602,0.062655,0.037463,0.001814,0.517,2676,
EQIX,REIT,63,0.02075,0.9314,0.2123,0.053344,0.029698,0.001337,0.5103,2676,
EQIX,REIT,126,-0.01547,1.0957,0.319,0.041944,0.02531,0.000846,0.5088,2676,
F,Other,21,0.00886,1.0286,0.5133,0.085805,0.046417,0.003301,0.4729,2676,
F,Other,63,-0.01877,1.189,0.4689,0.083449,0.047192,0.003184,0.483,2676,
F,Other,126,-0.05198,1.3081,0.5392,0.070812,0.044785,0.002364,0.4983,2676,
FCX,Materials,21,0.05901,0.8681,0.5862,0.111947,0.062138,0.005773,0.4721,2676,
FCX,Materials,63,0.06959,0.8669,0.5176,0.111873,0.063374,0.005775,0.4707,2676,
FCX,Materials,126,0.05949,0.8905,0.6106,0.092935,0.059579,0.004156,0.4703,2676,
FDX,Industrials,21,0.00437,1.032,0.3795,0.070801,0.038303,0.002266,0.4882,2676,
FDX,Industrials,63,-0.02815,1.2225,0.3979,0.064164,0.036098,0.001916,0.4875,2676,
FDX,Industrials,126,-0.02624,1.1839,0.5887,0.048033,0.028976,0.001103,0.5065,2676,
GE,Industrials,21,0.04235,0.8874,0.5024,0.096824,0.053239,0.004306,0.4852,2676,breakup
GE,Industrials,63,0.01025,1.0708,0.5556,0.085787,0.048942,0.003393,0.4935,2676,breakup
GE,Industrials,126,0.14547,0.4795,0.2932,0.11572,0.047364,0.01134,0.486,2676,breakup
GILD,Health Care,21,-0.02005,1.1046,0.3731,0.066404,0.039555,0.002063,0.4916,2676,
GILD,Health Care,63,-0.05463,1.2426,0.3374,0.059299,0.038605,0.001681,0.4964,2676,
GILD,Health Care,126,-0.06176,1.2506,0.5377,0.042851,0.029788,0.000901,0.526,2676,
GM,Other,21,0.00327,1.0397,0.3959,0.09059,0.04376,0.003468,0.4912,2676,
GM,Other,63,-0.02406,1.1908,0.3425,0.086802,0.04274,0.003326,0.4923,2676,
GM,Other,126,-0.0315,1.2015,0.4182,0.073231,0.03777,0.00247,0.5069,2676,
GOOGL,Comm,21,0.11564,0.5255,0.1795,0.069786,0.041486,0.002468,0.4876,1933,class-split2014
GOOGL,Comm,63,0.14727,0.4007,0.1084,0.063757,0.040403,0.002053,0.4845,1933,class-split2014
GOOGL,Comm,126,0.06332,0.7949,0.2703,0.043415,0.031411,0.000917,0.4689,1933,class-split2014
GS,Financials,21,0.03432,0.8844,0.3013,0.069414,0.03685,0.002168,0.4854,2749,
GS,Financials,63,0.0105,1.0244,0.2623,0.061798,0.034103,0.001776,0.4884,2749,
GS,Financials,126,-0.02504,1.1899,0.5045,0.044457,0.026149,0.000946,0.4993,2749,
HD,Consumer Disc,21,0.00265,1.0509,0.2418,0.078312,0.035784,0.002706,0.4968,2676,
HD,Consumer Disc,63,-0.05051,1.4026,0.2912,0.068089,0.036184,0.002143,0.5065,2676,
HD,Consumer Disc,126,-0.05764,1.4229,0.3441,0.056532,0.033023,0.001518,0.5159,2676,
