step,date,w_XGB,w_RF,w_LassoCV,cv_rmse_XGB,cv_rmse_RF,cv_rmse_LassoCV
33,2016-08-03,0.331619002890624,0.3169392607546052,0.35144173635477083,0.040300794400585795,0.04216741473745648,0.038027666814539056
34,2016-09-08,0.3303886113733719,0.3164358215711477,0.35317556705548053,0.03931153177976857,0.04104491814861632,0.03677514416969171
35,2016-10-13,0.3278099726665418,0.3252666810261111,0.34692334630734706,0.03949543490874365,0.0398042535344993,0.03731947583146626
36,2016-11-17,0.3248276813357988,0.32869958866681465,0.3464727299973866,0.03953295102943599,0.03906727377219208,0.03706322520491074
37,2016-12-23,0.33235535087199947,0.3267945353508707,0.34085011377712976,0.03840188406227844,0.03905533988798502,0.03744482145019828
38,2017-02-01,0.3282170658004835,0.3322693369236539,0.3395135972758626,0.039454496277911255,0.03897331941872082,0.038141738960900146
39,2017-03-09,0.3328057869266584,0.322500872615886,0.34469334045745553,0.04041467913325029,0.041706054880507694,0.03902088469269364
40,2017-04-13,0.32750485833004195,0.3249673048213289,0.34752783684862915,0.04205564345474636,0.04238404093974397,0.039632587928847496
41,2017-05-19,0.33373971520808865,0.3160231597010509,0.35023712509086047,0.041933679643222595,0.04428452115659862,0.03995845471300533
42,2017-06-26,0.3404527403947246,0.32569143877101325,0.3338558208342622,0.04037063153945756,0.04220034825274405,0.041168346577659866
43,2017-08-01,0.3741074679445636,0.36446551489800105,0.2614270171574353,0.042428993766920185,0.043551454875011664,0.0607167675252907
44,2017-09-06,0.3755679964551864,0.364253974854844,0.26017802868996953,0.042857705761985276,0.044188900593628365,0.06186526497544812
45,2017-10-11,0.3750962858181756,0.35470630532463177,0.2701974088571926,0.045068332145541234,0.047659045644369825,0.0625652335724181
46,2017-11-15,0.375783252417916,0.36198083594772174,0.2622359116343623,0.04493527147869499,0.046648664204379964,0.06439210541113913
47,2017-12-21,0.3788867956680398,0.3673881475927762,0.25372505673918394,0.043785324466252266,0.045155733501485294,0.0653844815230727
48,2018-01-30,0.3830017837442602,0.3659884867632984,0.25100972949244144,0.044284598297563094,0.046343206832443896,0.06757140519875919
49,2018-03-07,0.3822088154514423,0.36597615720067367,0.251815027347884,0.044678468777841825,0.0466601561106608,0.06781368374879342
50,2018-04-12,0.375059636573196,0.367453203791767,0.257487159635037,0.04698374390553589,0.04795632677091719,0.06843722203093723
51,2018-05-17,0.37586161250263206,0.3685393715750261,0.2555990159223418,0.04719931072832215,0.048137079529773946,0.06940718834672657
52,2018-06-22,0.3743011765406808,0.3743653572431599,0.2513334662161593,0.04586130377172126,0.045853441370364595,0.06829945974914962
53,2018-07-30,0.3718604917199283,0.3691712844176323,0.2589682238624395,0.04573425203104137,0.046067400598435865,0.06567122867452625
54,2018-09-04,0.3295995588084176,0.3256828479413652,0.3447175932502171,0.04547140447339768,0.04601825041621244,0.04347719741113487
55,2018-10-09,0.3318156471598794,0.3235030065947562,0.3446813462453644,0.046879731266626444,0.0480843394089464,0.04512988166711992
56,2018-11-13,0.3256242675916041,0.32659100832410143,0.34778472408429456,0.04965674293907509,0.04950975421366991,0.04649267041010635
57,2018-12-20,0.3247190788011638,0.3254348723757034,0.34984604882313286,0.05322429067968073,0.05310722392220687,0.04940156591017784
58,2019-01-29,0.3255199808885292,0.326317568602904,0.34816245050856687,0.052990152960050406,0.05286063405254956,0.049543980270242864
59,2019-03-06,0.33366737706875405,0.3309870301731807,0.33534559275806525,0.05322282880890552,0.05365382951578198,0.05295647854736781
60,2019-04-10,0.3347154094467475,0.3277633880696397,0.33752120248361267,0.05374390841662211,0.05488384293585613,0.05329713860512678
61,2019-05-16,0.3860330065335333,0.3759500295969849,0.23801696386948187,0.05342852534254907,0.05486147798617624,0.0866542196712804
62,2019-06-21,0.3853411956675654,0.3784781631539786,0.23618064117845586,0.053752562635372515,0.05472727034897207,0.08770014617946413
63,2019-07-29,0.38402341633687026,0.3812238387111599,0.23475274495196993,0.054072082505272866,0.054469169405371,0.08845453907843538
64,2019-09-03,0.38356139972037373,0.3783871473158632,0.238051452963763,0.05564314487512895,0.056404036671287995,0.08965525002024177
65,2019-10-08,0.3836954797464985,0.3801110166883859,0.23619350356511562,0.056377047073608653,0.05690868502591375,0.09158430607569878
66,2019-11-12,0.37789652526097656,0.37845924383137597,0.24364423090764745,0.05404533050658333,0.053964972286735025,0.08382526657386924
67,2019-12-18,0.339988045968086,0.33744199942121333,0.32256995461070076,0.05316267132748686,0.053563791033949114,0.05603334248811109
68,2020-01-27,0.3436501304912971,0.3331807113007124,0.32316915820799047,0.05316568207106812,0.054836288421544976,0.05653507804610061
69,2020-03-03,0.3363457813965081,0.3362448552482715,0.3274093633552204,0.067404687722377,0.0674249196914279,0.06924445327231972
70,2020-04-07,0.33121863147300384,0.32963654218873595,0.33914482633826026,0.07349103212454017,0.07384375204339994,0.07177346430032416
71,2020-05-13,0.33205173245910946,0.32551587654093267,0.3424323909999578,0.0737413973630809,0.0752220107005674,0.07150596553341133
72,2020-06-18,0.3255066232842901,0.32537014622604615,0.3491232304896637,0.07412885436552277,0.07415994783888578,0.06911437270619725
73,2020-07-24,0.32694806106929175,0.3253565572904704,0.34769538164023794,0.07184389343692847,0.07219532273911411,0.06755689865094898
74,2020-08-28,0.3292385774605876,0.3291787261609287,0.34158269637848376,0.07017227141407671,0.07018503014151069,0.06763638516381286
75,2020-10-05,0.32766144440686074,0.32778835651366206,0.34455019907947726,0.07087969226552136,0.07085224928014347,0.06740539523379387
76,2020-11-09,0.32608939318226193,0.3290712181424349,0.3448393886753031,0.07158489009562585,0.07093623533553077,0.06769259585447508
77,2020-12-15,0.32788418650900447,0.32285786963662444,0.3492579438543712,0.07193733342666732,0.07305726844068276,0.06753493933430721
78,2021-01-22,0.32421767130534385,0.3259331501958546,0.3498491784988016,0.07198853235260128,0.0716096362276274,0.06671433221653182
79,2021-03-01,0.3252082769588282,0.3252788953788446,0.3495128276623272,0.07163521705113307,0.07161966496362432,0.06665382115610886
80,2021-04-06,0.3274397288558835,0.3229973206891167,0.3495629504549998,0.0705653241325467,0.07153585841298023,0.0660993694283488
81,2021-05-11,0.32017907255327066,0.3251500107323749,0.35467091671435447,0.07264047768139432,0.07152994004665311,0.06557617125564014
82,2021-06-16,0.3262023374633955,0.3206850543140532,0.3531126082225513,0.07066653968580275,0.07188233475758986,0.06528113097403267
83,2021-07-22,0.32991237635205456,0.3250261440358242,0.3450614796121212,0.06987595931373167,0.07092642918143782,0.0668082215754311
84,2021-08-26,0.3319169135357238,0.3149845665443119,0.3530985199199643,0.07165560395255922,0.07550753093207753,0.06735714130680197
85,2021-10-01,0.3231782877439681,0.32193207341238556,0.35488963884364644,0.07246840672538529,0.07274893536638355,0.06599295397114063
86,2021-11-05,0.326802783962019,0.3194247054027474,0.3537725106352336,0.0713699135711553,0.0730184173349217,0.06592905255499328
87,2021-12-13,0.32693556522708783,0.3193946968535772,0.35366973791933504,0.07119137878446265,0.07287219822833864,0.06580996666303002
88,2022-01-19,0.3244953302067248,0.32310412517329984,0.35240054461997533,0.07264662090403935,0.07295941896753917,0.06689402045073563
89,2022-02-24,0.3193757896252318,0.3247223027283104,0.35590190764645796,0.07411819988931483,0.07289785276946707,0.06651146876898813
90,2022-03-31,0.32033691003921694,0.32305270959335713,0.35661038036742604,0.0737308062967167,0.07311097527558374,0.06623110252554969
91,2022-05-06,0.31977393830486134,0.32452981798520386,0.3556962437099348,0.07461754811074232,0.07352405203984187,0.06708180827875887
92,2022-06-13,0.32000881546975485,0.3242124071843739,0.3557787773458714,0.07436212227764831,0.07339797656896774,0.06688576211153098
93,2022-07-20,0.3236911563842512,0.3234405128747906,0.35286833074095825,0.07374321659118176,0.07380036236565833,0.06764570513814964
94,2022-08-24,0.3245399467140904,0.3229567958111479,0.3525032574747618,0.07324439979785545,0.07360344763081471,0.06743408210689644
95,2022-09-29,0.3225635383907107,0.323989224550717,0.3534472370585723,0.07422422534866308,0.07389760815649096,0.0677386219284737
96,2022-11-03,0.3242790957520371,0.32499852353801656,0.35072238070994627,0.07350554589379048,0.07334283151723303,0.06796347557560435
97,2022-12-09,0.3238982320287747,0.3269216705499717,0.3491800974212536,0.07350186339658601,0.07282210312006733,0.06818007034419724
98,2023-01-18,0.3203393772401317,0.3268921981208024,0.3527684246390659,0.07436645325365099,0.07287571700939881,0.06753014629131238
99,2023-02-23,0.3225824277442383,0.328869251647375,0.3485483206083868,0.07332457259171278,0.07192286454710926,0.06786209326344463
100,2023-03-30,0.33299805569093593,0.32316389924793565,0.3438380450611284,0.07319508769385152,0.07542247740203241,0.07088750718044266
101,2023-05-05,0.33765051287313624,0.3135330194045613,0.3488164677223024,0.07314024601370674,0.07876631821776205,0.07079895550647035
102,2023-06-12,0.342229625594727,0.3134693157936225,0.34430105861165056,0.07246739560159914,0.0791161635765589,0.0720314069453199
103,2023-07-19,0.340496048514277,0.30781678114433875,0.3516871703413843,0.07340436429323141,0.08119731449542988,0.07106854640527858
104,2023-08-23,0.3417071795912236,0.29453712207528787,0.36375569833348864,0.0743046381968175,0.08620451021549214,0.06980077141087986
105,2023-09-28,0.339043732676906,0.29719757005179576,0.3637586972712982,0.07557825341066167,0.08621986088609679,0.07044321781931365
106,2023-11-02,0.3387449444204441,0.2935120236264223,0.3677430319531337,0.0755408914376671,0.08718244232506385,0.06958417386079663
